m_name,me_name
pimACP_c,EG50003-MONOMER_mod_pan4p_mod_pim
pmeACP_c,EG50003-MONOMER_mod_pan4p_mod_pme
protrna_c,N/A
sectrna_c,N/A
sertrna[sec]_c,N/A
sertrna_c,N/A
sufbcd__2fe2s2_c,
sufbcd__2fe2s_c,2fe2s_c
sufbcd__4fe4s_c,4fe4s_c
sufbcd_c,sufBC2DES_pathway_complex
sufse_c,CPLX0-246_CPLX0-1342_mod_pydx5p
sufsesh_c,CPLX0-246_CPLX0-1342_mod_pydx5p_mod_1:SH
t3c11vaceACP_c,EG50003-MONOMER_mod_pan4p_mod_t3c11vace
t3c5ddeceACP_c,EG50003-MONOMER_mod_pan4p_mod_t3c5ddece
t3c7mrseACP_c,EG50003-MONOMER_mod_pan4p_mod_t3c7mrse
t3c9palmeACP_c,EG50003-MONOMER_mod_pan4p_mod_t3c9palme
tddec2eACP_c,EG50003-MONOMER_mod_pan4p_mod_tddec2e
tdeACP_c,EG50003-MONOMER_mod_pan4p_mod_tde
tdec2eACP_c,EG50003-MONOMER_mod_pan4p_mod_tdec2e
thex2eACP_c,EG50003-MONOMER_mod_pan4p_mod_thex2e
thrtrna_c,N/A
tmrs2eACP_c,EG50003-MONOMER_mod_pan4p_mod_tmrs2e
toct2eACP_c,EG50003-MONOMER_mod_pan4p_mod_toct2e
toctd2eACP_c,EG50003-MONOMER_mod_pan4p_mod_toctd2e
tpalm2eACP_c,EG50003-MONOMER_mod_pan4p_mod_tpalm2e
trdox_c,RED-THIOREDOXIN-MONOMER_mod_Oxidized
trdrd_c,RED-THIOREDOXIN-MONOMER
trnaala_c,N/A
trnaarg_c,N/A
trnaasn_c,N/A
trnaasp_c,N/A
trnacys_c,N/A
trnagln_c,N/A
trnaglu_c,N/A
trnagly_c,N/A
trnahis_c,N/A
trnaile_c,N/A
trnaleu_c,N/A
trnalys_c,N/A
trnamet_c,N/A
trnaphe_c,N/A
trnapro_c,N/A
trnasecys_c,N/A
trnaser_c,N/A
trnathr_c,N/A
trnatrp_c,N/A
trnatyr_c,N/A
trnaval_c,N/A
trptrna_c,N/A
tyrtrna_c,N/A
valtrna_c,N/A
wco_c,
fldox_c,FLAVODOXIN1-MONOMER_mod_Oxidized
fldrd_c,FLAVODOXIN1-MONOMER
