m_name,me_name
2fe1s_c,N/A
3haACP_c,EG50003-MONOMER_mod_pan4p_mod_3ha
3hcddec5eACP_c,EG50003-MONOMER_mod_pan4p_mod_3hcddec5e
3hcmrs7eACP_c,EG50003-MONOMER_mod_pan4p_mod_3hcmrs7e
3hcpalm9eACP_c,EG50003-MONOMER_mod_pan4p_mod_3hpalm
3hcvac11eACP_c,EG50003-MONOMER_mod_pan4p_mod_3hcvac11e
3hddecACP_c,EG50003-MONOMER_mod_pan4p_mod_3hddec
3hdecACP_c,EG50003-MONOMER_mod_pan4p_mod_3hdec
3hhexACP_c,EG50003-MONOMER_mod_pan4p_mod_3hhex
3hmrsACP_c,EG50003-MONOMER_mod_pan4p_mod_3hmrs
3hoctACP_c,EG50003-MONOMER_mod_pan4p_mod_3hoct
3hoctaACP_c,EG50003-MONOMER_mod_pan4p_mod_3hocta
3hpalmACP_c,EG50003-MONOMER_mod_pan4p_mod_3hpalm
3ocddec5eACP_c,EG50003-MONOMER_mod_pan4p_mod_3ocddec5e
3ocmrs7eACP_c,EG50003-MONOMER_mod_pan4p_mod_3ocmrs7e
3ocpalm9eACP_c,EG50003-MONOMER_mod_pan4p_mod_3opalm
3ocvac11eACP_c,EG50003-MONOMER_mod_pan4p_mod_3ocvac11e
3oddecACP_c,EG50003-MONOMER_mod_pan4p_mod_3oddec
3odecACP_c,EG50003-MONOMER_mod_pan4p_mod_3odec
3ohexACP_c,EG50003-MONOMER_mod_pan4p_mod_3ohex
3omrsACP_c,EG50003-MONOMER_mod_pan4p_mod_3omrs
3ooctACP_c,EG50003-MONOMER_mod_pan4p_mod_3ooct
3ooctdACP_c,EG50003-MONOMER_mod_pan4p_mod_3ooctd
3opalmACP_c,EG50003-MONOMER_mod_pan4p_mod_3opalm
ACP_c,EG50003-MONOMER_mod_pan4p
acACP_c,EG50003-MONOMER_mod_pan4p_mod_ac
actACP_c,EG50003-MONOMER_mod_pan4p_mod_act
alatrna_c,N/A
alpp_p,EG10544-MONOMER_mod_palmitate
apoACP_c,EG50003-MONOMER
argtrna_c,N/A
asntrna_c,N/A
asptrna_c,N/A
but2eACP_c,EG50003-MONOMER_mod_pan4p_mod_but2e
butACP_c,EG50003-MONOMER_mod_pan4p_mod_but
bwco1gdp_c,N/A
bwco_c,N/A
bwcogdp_c,N/A
cddec5eACP_c,EG50003-MONOMER_mod_pan4p_mod_cddec5e
cdec3eACP_c,EG50003-MONOMER_mod_pan4p_mod_cdec3e
cystrna_c,N/A
dcaACP_c,EG50003-MONOMER_mod_pan4p_mod_dca
ddcaACP_c,EG50003-MONOMER_mod_pan4p_mod_ddca
dsbaox_p,DISULFOXRED-MONOMER_mod_Oxidized
dsbard_p,DISULFOXRED-MONOMER
dsbcox_p,DSBC-CPLX_mod_Oxidized
dsbcrd_p,DSBC-CPLX
dsbdox_c,DSBD-MONOMER_mod_Oxidized
dsbdrd_c,DSBD-MONOMER
dsbgox_p,DSBG-CPLX_mod_Oxidized
dsbgrd_p,DSBG-CPLX
egmeACP_c,EG50003-MONOMER_mod_pan4p_mod_egme
epmeACP_c,EG50003-MONOMER_mod_pan4p_mod_epme
flxr_c,FLAVODOXIN1-MONOMER
flxso_c,FLAVODOXIN1-MONOMER_mod_Oxidized
fmettrna_c,N/A
glntrna_c,N/A
glutrna_c,generic_tRNA_GAG_glu__L_c
glytrna_c,N/A
gmeACP_c,EG50003-MONOMER_mod_pan4p_mod_gme
grxox_c,GLUTAREDOXIN-MONOMER_mod_Oxidized
grxrd_c,GLUTAREDOXIN-MONOMER
hdeACP_c,EG50003-MONOMER_mod_pan4p_mod_hde
hexACP_c,EG50003-MONOMER_mod_pan4p_mod_hex
hgmeACP_c,EG50003-MONOMER_mod_pan4p_mod_hgme
histrna_c,N/A
hpmeACP_c,EG50003-MONOMER_mod_pan4p_mod_hpme
iletrna_c,N/A
iscs_c,IscS_mod_2:pydx5p
iscssh_c,IscS_mod_2:pydx5p_mod_1:SH
iscu__2fe2s2_c,IscU_mod_2:2fe2s
iscu__2fe2s_c,
iscu__4fe4s_c,IscU_mod_1:4fe4s
iscu_c,IscU
leutrna_c,N/A
lipopb_c,
lpp_p,EG10544-MONOMER
lystrna_c,N/A
malACP_c,EG50003-MONOMER_mod_pan4p_mod_mal
mettrna_c,N/A
moadamp_c,EG11597-MONOMER_mod_amp
moadcoo_c,EG11597-MONOMER_mod_coo
moadcosh_c,EG11597-MONOMER_mod_cosh
myrsACP_c,EG50003-MONOMER_mod_pan4p_mod_myrs
ocACP_c,EG50003-MONOMER_mod_pan4p_mod_oc
ocdcaACP_c,EG50003-MONOMER_mod_pan4p_mod_ocdca
octapb_c,
octeACP_c,EG50003-MONOMER_mod_pan4p_mod_octe
ogmeACP_c,EG50003-MONOMER_mod_pan4p_mod_ogme
opmeACP_c,EG50003-MONOMER_mod_pan4p_mod_opme
palmACP_c,EG50003-MONOMER_mod_pan4p_mod_palm
phetrna_c,N/A
