#id	is_trna	is_rrna
EG30045	True	False
EG30010	True	False
EG30024	True	False
EG30025	True	False
EG30104	True	False
EG30014	True	False
EG30031	True	False
EG30029	True	False
EG30059	True	False
EG30030	True	False
EG30028	True	False
EG30052	True	False
EG30058	True	False
EG30055	True	False
EG30109	True	False
EG30057	True	False
G6389	True	False
G6390	True	False
G6391	True	False
G6392	True	False
EG30096	True	False
EG30093	True	False
EG30097	True	False
EG30108	True	False
EG30106	True	False
EG30111	True	False
EG30112	True	False
EG30054	True	False
G7991	True	False
EG30039	True	False
EG30094	True	False
EG30020	True	False
G7069	True	False
EG30021	True	False
EG30022	True	False
EG30067	True	False
EG30016	True	False
EG30012	True	False
EG30011	True	False
EG30110	True	False
EG30113	True	False
EG30114	True	False
EG30056	True	False
EG30035	True	False
G7387	True	False
EG30013	True	False
EG30019	True	False
EG30018	True	False
EG30015	True	False
EG30095	True	False
EG30062	True	False
EG31117	True	False
EG30060	True	False
EG30037	True	False
EG30065	True	False
EG30046	True	False
EG30061	True	False
EG30050	True	False
EG30103	True	False
EG30009	True	False
EG30044	True	False
EG30066	True	False
EG30092	True	False
EG30033	True	False
EG30023	True	False
EG30105	True	False
EG30017	True	False
EG30042	True	False
EG30049	True	False
EG30068	True	False
EG30043	True	False
EG30008	True	False
EG30032	True	False
EG30102	True	False
EG30107	True	False
EG30036	True	False
EG30101	True	False
EG30034	True	False
EG30064	True	False
EG30038	True	False
EG30040	True	False
EG30041	True	False
EG30053	True	False
EG30051	True	False
EG30047	True	False
EG30048	True	False
EG30090	False	True
EG30083	False	True
EG30076	False	True
EG30027	False	False
EG31115	False	False
G7047	False	False
EG30075	False	True
EG30082	False	True
EG30089	False	True
EG30100	False	False
EG30099	False	False
EG30069	False	False
EG30091	False	True
EG30073	False	True
EG30080	False	True
EG30087	False	True
EG30086	False	True
EG30079	False	True
EG30072	False	True
EG30084	False	True
EG30077	False	True
EG30070	False	True
EG30098	False	False
EG30085	False	True
EG30078	False	True
EG30071	False	True
EG30088	False	True
EG30081	False	True
EG30074	False	True
G0-8785	False	False
G0-9581	False	False
G0-8895	False	False
G0-8881	False	False
G0-8880	False	False
G0-8862	False	False
G0-9603	False	False
G0-9606	False	False
G0-9608	False	False
G0-9609	False	False
G0-8899	False	False
G0-8901	False	False
G0-9611	False	False
G0-8876	False	False
G0-8863	False	False
G0-8865	False	False
G0-8883	False	False
G0-8904	False	False
G0-8905	False	False
G0-8884	False	False
G0-8885	False	False
G0-8878	False	False
EG30063	False	False
G0-8879	False	False
G0-8910	False	False
G0-8866	False	False
G0-8867	False	False
G0-8868	False	False
G0-8882	False	False
G0-8886	False	False
G0-8913	False	False
G0-8870	False	False
G0-8871	False	False
G0-8872	False	False
G0-8914	False	False
G0-9042	False	False
G0-8873	False	False
G0-8874	False	False
EG31116	False	False
G0-8875	False	False
G0-9941	False	False
G0-9382	False	False
G0-10592	False	False
G0-10597	False	False
G0-10598	False	False
G0-10600	False	False
G0-10602	False	False
G0-10609	False	False
G0-10610	False	False
G0-9388	False	False
G0-10671	False	False
G0-10677	False	False
G0-8861	False	False
G0-8893	False	False
G0-8894	False	False
G0-8896	False	False
G0-8897	False	False
G0-8898	False	False
G0-8900	False	False
G0-8902	False	False
G0-8903	False	False
G0-8906	False	False
G0-8907	False	False
G0-8908	False	False
G0-8911	False	False
G0-8912	False	False
G0-9381	False	False
G0-9383	False	False
G0-9384	False	False
G0-9385	False	False
G0-9387	False	False
G0-10574	False	False
G0-10201	False	False
G0-10202	False	False
