Bnum,Object_ID
b4053,EG10001
b0764,EG10002
b2413,EG10003
b3639,EG10004
b4123,EG10006
b2307,EG10007
b4003,EG10008
b1456,EG10010
b0006,EG10011
b0886,EG10012
b1856,EG10013
b2470,EG10014
b2516,EG10015
b3126,EG10016
b3187,EG10017
b3252,EG10018
b3912,EG10020
b4352,EG10021
b4015,EG10022
b4014,EG10023
b0114,EG10024
b0115,EG10025
b4016,EG10026
b2296,EG10027
b0902,EG10028
b2213,EG10029
b1623,EG10030
b1241,EG10031
b0474,EG10032
b1002,EG10033
b2697,EG10034
b1415,EG10035
b1300,EG10036
b2212,EG10037
b1982,EG10039
b4150,EG10040
b0110,EG10041
b0111,EG10042
b4214,EG10043
b1739,EG10044
b1767,EG10045
b2957,EG10046
b0050,EG10047
b0049,EG10048
b0980,EG10049
b0564,EG10050
b0469,EG10051
b0062,EG10052
b0063,EG10053
b0064,EG10054
b0061,EG10055
b2841,EG10056
b1901,EG10057
b1900,EG10058
b4460,EG10059
b0396,EG10060
b4401,EG10061
b3210,EG10062
b2818,EG10063
b3959,EG10064
b3958,EG10065
b3359,EG10066
b0273,EG10067
b3172,EG10068
b4254,EG10069
b3237,EG10070
b1876,EG10071
b2310,EG10072
b0908,EG10073
b3389,EG10074
b2329,EG10075
b1693,EG10076
b3281,EG10077
b2601,EG10078
b0754,EG10079
b1704,EG10080
b3390,EG10081
b0388,EG10082
b0390,EG10083
b0112,EG10084
b2716,EG10085
b2715,EG10086
b2714,EG10087
b3433,EG10088
b3801,EG10089
b3800,EG10090
b3744,EG10091
b0674,EG10092
b3743,EG10093
b0930,EG10094
b4139,EG10095
b0928,EG10096
b1866,EG10097
b3734,EG10098
b3738,EG10099
b3731,EG10100
b3732,EG10101
b3737,EG10102
b3736,EG10103
b3733,EG10104
b3735,EG10105
b3739,EG10106
b3572,EG10107
b2480,EG10108
b0311,EG10109
b0312,EG10110
b0313,EG10111
b0314,EG10112
b3336,EG10113
b3721,EG10114
b3722,EG10115
b3723,EG10116
b0774,EG10117
b0775,EG10118
b0777,EG10119
b0778,EG10120
b0776,EG10121
b3412,EG10122
b3973,EG10123
b3551,EG10124
b0435,EG10125
b3966,EG10126
b1711,EG10127
b1709,EG10128
b1710,EG10129
b1270,EG10130
b4131,EG10131
b4132,EG10132
b4133,EG10133
b0032,EG10134
b0033,EG10135
b3056,EG10136
b2143,EG10137
b3918,EG10138
b0175,EG10139
b1738,EG10140
b1737,EG10141
b1736,EG10142
b1735,EG10143
b1734,EG10144
b4400,EG10145
b1888,EG10146
b1883,EG10147
b1884,EG10148
b1887,EG10149
b1882,EG10150
b1881,EG10151
b0765,EG10152
b0827,EG10153
b0826,EG10154
b2155,EG10155
b0882,EG10156
b2592,EG10157
b0437,EG10158
b0438,EG10159
b4213,EG10160
b2049,EG10161
b2048,EG10162
b3911,EG10163
b3357,EG10164
b2417,EG10165
b3556,EG10166
b0598,EG10167
b0657,EG10168
b2313,EG10169
b3806,EG10170
b1418,EG10172
b0733,EG10173
b0734,EG10174
b0340,EG10175
b0339,EG10176
b0341,EG10177
b0432,EG10178
b0431,EG10179
b0430,EG10180
b0429,EG10181
b0428,EG10182
b2422,EG10183
b1275,EG10184
b2750,EG10185
b2752,EG10186
b3607,EG10187
b3368,EG10188
b2762,EG10189
b2763,EG10190
b2764,EG10191
b2414,EG10192
b2421,EG10193
b2751,EG10194
b2425,EG10195
b0526,EG10196
b2424,EG10197
b2423,EG10198
b3934,EG10200
b0632,EG10201
b3182,EG10202
b0839,EG10203
b3387,EG10204
b2478,EG10205
b0031,EG10206
b0166,EG10207
b2472,EG10208
b3809,EG10209
b1343,EG10210
b1961,EG10211
b1538,EG10212
b0381,EG10213
b0092,EG10214
b3162,EG10215
b2317,EG10216
b2316,EG10217
b2314,EG10218
b4382,EG10219
b4383,EG10220
b4381,EG10221
b4384,EG10222
b0840,EG10223
b4042,EG10224
b0160,EG10225
b1570,EG10226
b1575,EG10227
b1569,EG10228
b2321,EG10229
b0145,EG10230
b2133,EG10231
b0894,EG10232
b0895,EG10233
b0896,EG10234
b3702,EG10235
b4052,EG10236
b4361,EG10237
b0184,EG10238
b3066,EG10239
b0015,EG10240
b0014,EG10241
b3701,EG10242
b0215,EG10243
b4362,EG10244
b0470,EG10245
b0211,EG10246
b2563,EG10247
b3544,EG10248
b2366,EG10249
b2365,EG10250
b3640,EG10251
b3076,EG10252
b3077,EG10253
b3075,EG10254
b2209,EG10255
b1850,EG10256
b1851,EG10257
b2779,EG10258
b0596,EG10259
b0595,EG10260
b0593,EG10261
b0583,EG10262
b0594,EG10263
b0586,EG10264
b0096,EG10265
b3265,EG10266
b3266,EG10267
b0566,EG10268
b3404,EG10269
b2566,EG10270
b3006,EG10271
b3005,EG10272
b0954,EG10273
b2323,EG10274
b3255,EG10275
b3256,EG10276
b1091,EG10277
b3845,EG10278
b3846,EG10279
b2344,EG10280
b1187,EG10281
b2925,EG10282
b4232,EG10283
b3891,EG10284
b4079,EG10285
b4291,EG10286
b4290,EG10287
b4289,EG10288
b4288,EG10289
b4287,EG10290
b4293,EG10291
b4292,EG10292
b0584,EG10293
b0592,EG10294
b0588,EG10295
b0590,EG10296
b0587,EG10297
b0589,EG10298
b0585,EG10299
b2610,EG10300
b2731,EG10301
b0150,EG10302
b0153,EG10303
b0151,EG10304
b0152,EG10305
b1102,EG10306
b3361,EG10307
b4314,EG10308
b4312,EG10309
b4316,EG10310
b4317,EG10311
b4313,EG10312
b4318,EG10313
b4319,EG10314
b4320,EG10315
b0179,EG10316
b3261,EG10317
b0684,EG10318
b1891,EG10319
b1892,EG10320
b1923,EG10321
b1944,EG10322
b1945,EG10323
b1946,EG10324
b1334,EG10325
b0048,EG10326
b2315,EG10327
b0529,EG10328
b3635,EG10329
b4154,EG10330
b4153,EG10331
b4152,EG10332
b4151,EG10333
b3844,EG10334
b0172,EG10335
b2167,EG10336
b2168,EG10337
b0080,EG10338
b0094,EG10339
b3463,EG10340
b0084,EG10341
b0093,EG10342
b3465,EG10343
b0089,EG10344
b3462,EG10345
b3464,EG10346
b0095,EG10347
b2800,EG10348
b2802,EG10349
b2803,EG10350
b2799,EG10351
b2801,EG10352
b2805,EG10353
b2804,EG10355
b1612,EG10356
b4122,EG10357
b1611,EG10358
b0683,EG10359
b3340,EG10360
b2662,EG10361
b0759,EG10362
b0757,EG10363
b2837,EG10364
b2151,EG10365
b0758,EG10366
b1779,EG10367
b2927,EG10368
b0124,EG10369
b2515,EG10370
b2904,EG10371
b1761,EG10372
b0018,EG10373
b3447,EG10374
b3741,EG10375
b3740,EG10376
b3429,EG10377
b3432,EG10378
b3430,EG10379
b3428,EG10380
b3431,EG10381
b3729,EG10382
b3870,EG10383
b2553,EG10384
b3868,EG10385
b0811,EG10386
b3869,EG10387
b0810,EG10388
b0809,EG10389
b0680,EG10390
b2241,EG10391
b2242,EG10392
b2243,EG10393
b3426,EG10394
b3425,EG10395
b3927,EG10396
b3424,EG10397
b3926,EG10398
b2239,EG10399
b3423,EG10400
b2240,EG10401
b0720,EG10402
b3212,EG10403
b3213,EG10404
b4077,EG10405
b3653,EG10406
b2400,EG10407
b2551,EG10408
b3560,EG10409
b3559,EG10410
b2029,EG10411
b3500,EG10412
b3779,EG10413
b0238,EG10414
b3181,EG10415
b2614,EG10416
b0849,EG10417
b2688,EG10418
b2947,EG10419
b2507,EG10420
b2508,EG10421
b0104,EG10422
b2231,EG10423
b3699,EG10424
b1619,EG10425
b0962,EG10426
b1210,EG10427
b0369,EG10428
b3805,EG10429
b3804,EG10430
b0475,EG10431
b0154,EG10432
b3803,EG10433
b3802,EG10434
b4175,EG10435
b4174,EG10436
b4173,EG10437
b4172,EG10438
b0460,EG10439
b1712,EG10440
b0912,EG10441
b1508,EG10442
b1507,EG10443
b2024,EG10444
b2022,EG10445
b2021,EG10446
b2020,EG10447
b2025,EG10448
b2019,EG10449
b2023,EG10450
b2026,EG10451
b2306,EG10452
b2514,EG10453
b2318,EG10454
b0178,EG10455
b2552,EG10456
b1237,EG10457
b4349,EG10458
b4350,EG10459
