Object ID	Accession_1	Genes of transcription unit	Transcription_Units
TU00275	b1938,b1939,b1940,b1941,b1942,b1943,b1938,b1939,b1940,b1941,b1942,b1943,b1938,b1939,b1940,b1941,b1942,b1943,b1938,b1939,b1940,b1941,b1942,b1943,b1938,b1939,b1940,b1941,b1942,b1943,b1938,b1939,b1940,b1941,b1942,b1943	fliF,fliG,fliH,fliI,fliJ,fliK	fliFGHIJK
TU0_13697	b2641,b2640,b2641,b2640	ypjM_1,ypjM_2	ypjMp,ypjM_1,ypjM_2
TU0_8766	b2252	ais	ais
TU0_13310	b1539	ydfG	ydfGp,ydfG
TU0_12919	b0410	yajD	yajD
TU0_8044	b2090	gatR_2	gatR_2
TU0_42477	b0076	leuO	leuO
TU0_14610	b0252	yafZ	yafZp,yafZ
TU872	b3384,b3385,b3386,b3387,b3388,b3389,b3390,b3384,b3385,b3386,b3387,b3388,b3389,b3390,b3384,b3385,b3386,b3387,b3388,b3389,b3390,b3384,b3385,b3386,b3387,b3388,b3389,b3390,b3384,b3385,b3386,b3387,b3388,b3389,b3390,b3384,b3385,b3386,b3387,b3388,b3389,b3390,b3384,b3385,b3386,b3387,b3388,b3389,b3390	trpS,gph,rpe,dam,damX,aroB,aroK	aroKB_damX_dam_rpe_gph_trpS
TU0_14114	b4038	yjbI	yjbI
TU00292	b0694,b0695,b0694,b0695	kdpE,kdpD	kdpDE
TU0_13713	b2683,b2682,b2683,b2682	ygaH,ygaZ	ygaH,ygaZ
TU0_8788	b1954	dsrA	dsrA
TU0_13327	b1569,b1568,b1567,b1569,b1568,b1567,b1569,b1568,b1567	dicC,ydfX,ydfW	dicCp,dicC,ydfX,ydfW
TU0_8181	b1723	pfkB	pfkB
TU0_12936	b0447	ybaO	ybaOp,ybaO
TU0_42501	b1163	bluF	bluF
TU0_14631	b1676	pykF	pykFp2,pykF
TU0_14130	b4487	yjdP	yjdP
TU00310	b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288	nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA	nuoABCEFGHIJKLMN
TU0_13730	b2771	ygcS	ygcS
TU0_8809	b0962	helD	helD
TU0_13344	b1604	ydgH	ydgH
TU0_8264	b4347	symE	symE
TU0_12955	b0487	cueR	cueR
TU0_42525	b0172	frr	frr
TU0_14649	b2741	rpoS	rpoSp1,rpoS
TU0_14148	b4158,b4157,b4158,b4157	yjeO,yjeN	yjeO,yjeN
TU00328	b2218	rcsC	rcsC
TU0_13747	b2831	mutH	mutH
TU0_8824	b4427	micC	micC
TU0_13361	b1667	ydhR	ydhR
TU0_8331	b1659	ydhB	ydhB
TU0_12972	b0543,b0542,b0543,b0542	emrE,renD	emrE,renD
TU0_42549	b1384	feaR	feaR
TU0_14672	b4143	groL	groLp1,groL
TU0_14165	b4222,b4221,b4220,b4222,b4221,b4220,b4222,b4221,b4220	ytfP,tamB,tamA	ytfP,tamB,tamA
TU00347	b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321,b3311,b3312,b3313,b3314,b3315,b3316,b3317,b3318,b3319,b3320,b3321	rpsQ,rpmC,rplP,rpsC,rplV,rpsS,rplB,rplW,rplD,rplC,rpsJ	rpsJ_rplCDWB_rpsS_rplV_rpsC_rplP_rpmC_rpsQ
TU0_13765	b2854	pbl	pbl
TU0_8840	b0220	ivy	ivy
TU0_13377	b1707	ydiV	ydiVp,ydiV
TU0_8350	b0879	macB	macB
TU0_12991	b4512	ybdD	ybdD
TU0_42576		micL	micL
TU0_14692	b3728	pstS	pstS
TU0_14181	b4560	yjgX_3	yjgX_3
TU00364	b1429,b1430,b1429,b1430	tehA,tehB	tehAB
TU0_13782	b2881,b2880,b2881,b2880	xdhD,ygfM	xdhD,ygfM
TU0_8867	b4360,b4361,b4362,b4363,b4360,b4361,b4362,b4363,b4360,b4361,b4362,b4363,b4360,b4361,b4362,b4363	yjjA,dnaC,dnaT,yjjB	yjjB_dnaTC_yjjA
TU0_13394	b1776,b1775,b1774,b1773,b1772,b1771,b1776,b1775,b1774,b1773,b1772,b1771,b1776,b1775,b1774,b1773,b1772,b1771,b1776,b1775,b1774,b1773,b1772,b1771,b1776,b1775,b1774,b1773,b1772,b1771,b1776,b1775,b1774,b1773,b1772,b1771	ydjL,ydjK,ydjJ,ydjI,ydjH,ydjG	ydjLKJIHG
TU0_8373	b0184,b0183,b0182,b0181,b0180,b0179,b0178,b0177,b0184,b0183,b0182,b0181,b0180,b0179,b0178,b0177,b0184,b0183,b0182,b0181,b0180,b0179,b0178,b0177,b0184,b0183,b0182,b0181,b0180,b0179,b0178,b0177,b0184,b0183,b0182,b0181,b0180,b0179,b0178,b0177,b0184,b0183,b0182,b0181,b0180,b0179,b0178,b0177,b0184,b0183,b0182,b0181,b0180,b0179,b0178,b0177,b0184,b0183,b0182,b0181,b0180,b0179,b0178,b0177	dnaE,rnhB,lpxB,lpxA,fabZ,lpxD,skp,bamA	bamA_hlpA_lpxD_fabZ_lpxAB_rnhB_dnaE
TU0_13007	b0631	ybeD	ybeD
TU0_4287	b0052,b0053,b0054,b0052,b0053,b0054,b0052,b0053,b0054	pdxA,surA,lptD	imp_surA_pdxA
TU0_14730	b0779	uvrB	uvrB
TU0_14199	b4330,b4329,b4328,b4330,b4329,b4328,b4330,b4329,b4328	yjiH,yjiG,iadA	yjiH,yjiG,iadA
TU00381	b0903	pflB	pflB
TU0_13800	b2924	mscS	mscSp,mscS
TU00002	b2068	alkA	alkA
TU0_13411	b1802,b1801,b1802,b1801	yeaW,yeaV	yeaW,yeaV
TU0_8478	b1489,b1490,b1489,b1490	dosP,dosC	dosCP
TU0_13025	b0699	ybfA	ybfA
TU0_4504	b4085,b4086,b4087,b4088,b4089,b4085,b4086,b4087,b4088,b4089,b4085,b4086,b4087,b4088,b4089,b4085,b4086,b4087,b4088,b4089,b4085,b4086,b4087,b4088,b4089	alsE,alsC,alsA,alsB,rpiR	alsRBACE
TU0_14762	b1167,b1166,b1165,b1164,b1167,b1166,b1165,b1164,b1167,b1166,b1165,b1164,b1167,b1166,b1165,b1164	ymgC,ariR,ymgA,ycgZ	ycgZ_ymgA_ariR_ymgC
TU0_14216	b4374,b4373,b4372,b4374,b4373,b4372,b4374,b4373,b4372	yjjG,rimI,holD	holDp,yjjG,rimI,holD
TU00397	b4241	treR	treR
TU0_13818	b2987	pitB	pitB
TU00018	b4381,b4382,b4383,b4384,b4381,b4382,b4383,b4384,b4381,b4382,b4383,b4384,b4381,b4382,b4383,b4384	deoC,deoA,deoB,deoD	deoCABD
TU0_13427	b1834,b1833,b1834,b1833	yebT,yebS	yebT,yebS
TU0_8495	b0393	rdgC	rdgC
TU0_13041	b0762	acrZ	acrZp,acrZ
TU0_4742	b0957	ompA	ompA
TU0_14787	b3902	rhaD	rhaD
TU0_14232	b3003	yghA	yghA
TU00414	b3178,b3179,b3178,b3179	ftsH,rlmE	rlmE_ftsH
TU0_13834	b3024	ygiW	ygiW
TU00034	b3942	katG	katG
TU0_13443	b1871,b1870,b1869,b1871,b1870,b1869,b1871,b1870,b1869	cmoB,cmoA,yecN	cmoB,cmoA,yecN
TU0_8512	b3348	slyX	slyX
TU0_13058	b0813	rhtA	rhtA
TU0_4927	b3415	gntT	gntT
TU0_14814	b2926	pgk	pgk
TU0_14247	b0229	lfhA	lfhA
TU00431	b3495	uspA	uspA
TU0_13852	b3080,b3079,b3080,b3079	ygjK,ygjJ	ygjK,ygjJ
TU00050	b0929	ompF	ompF
TU0_13460	b1956	yedQ	yedQ
TU0_8530	b0994	torT	torT
TU0_13074	b0868	ybjS	ybjS
TU0_5101	b2029	gnd	gnd
TU0_1548	b1194	ycgR	ycgR
TU0_14275	b2737	ygbK	ygbK
TU00448	b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288,b2276,b2277,b2278,b2279,b2280,b2281,b2282,b2283,b2284,b2285,b2286,b2287,b2288	nuoN,nuoM,nuoL,nuoK,nuoJ,nuoI,nuoH,nuoG,nuoF,nuoE,nuoC,nuoB,nuoA	nuoABCEFGHIJKLMN
TU0_13869	b3110,b4470,b3110,b4470	yhaO,yhaM	yhaO,yhaM
TU00066	b0958	sulA	sulA
TU0_13478	b1990	ldtA	ldtA
TU0_8546	b0276	yagJ	yagJ
TU0_13090	b0925	ldtD	ycbBp,ldtD
TU0_5421	b0476	aes	aes
TU0_1802	b1303	pspF	pspF
TU0_14300	b0135,b0136,b0137,b0138,b0135,b0136,b0137,b0138,b0135,b0136,b0137,b0138,b0135,b0136,b0137,b0138	yadC,yadK,yadL,yadM	yadMLKC
TU00466	b3363	ppiA	ppiA
TU0_13885	b3187	ispB	ispB
TU00082	b0522,b0523,b0522,b0523	purK,purE	purEK
TU0_13494	b2027	wzzB	wzzB
TU0_8562	b0647	ybeT	ybeT
TU0_13107	b0986,b0985,b0984,b0986,b0985,b0984,b0986,b0985,b0984	gfcB,gfcC,gfcD	gfcB,gfcC,gfcD
TU0_5682	b3514,b3513,b3512,b3514,b3513,b3512,b3514,b3513,b3512	mdtF,mdtE,gadE	gadE_mdtEF
TU_8397	b3181	greA	greA
TU0_2042	b0124	gcd	gcd
TU0_14317	b2032,b2033,b2034,b2032,b2033,b2034,b2032,b2033,b2034	wbbK,wbbJ,wbbI	wbbIJK
TU00482	b2415,b2416,b2417,b2415,b2416,b2417,b2415,b2416,b2417	ptsH,ptsI,crr	ptsHI_crr
TU0_13901	b3242,b3241,b3240,b3242,b3241,b3240,b3242,b3241,b3240	aaeX,aaeA,aaeB	aaeXp,aaeX,aaeA,aaeB
TU00098	b4460,b1900,b1901,b4460,b1900,b1901,b4460,b1900,b1901	araH,araG,araF	araFGH
TU0_13512	b2104,b2103,b2104,b2103	thiM,thiD	thiMp,thiM,thiD
TU0_8579	b3402	yhgE	yhgE
TU0_13123	b1046,b1045,b1046,b1045	clsC,ymdB	clsC,ymdB
TU0_6042	b0591	entS	entS
TU_8428	b1645,b1644,b1643,b1645,b1644,b1643,b1645,b1644,b1643	ydhK,ydhJ,ydhI	ydhIJK
TU0_2501	b1274	topA	topA
TU0_14336	b2515	ispG,sroE	ispG_sroE
TU00498	b1986	asnU	asnU
TU0_13919	b3354,b3353,b3352,b3354,b3353,b3352,b3354,b3353,b3352	yheU,yheT,yheS	yheU,yheT,yheS
TU00115	b0311,b0312,b0313,b0311,b0312,b0313,b0311,b0312,b0313	betA,betB,betI	betIBA
TU0_13528	b4542	yohO	yohO
TU0_8596	b3680	yidL	yidL
TU0_13140	b1115	ycfT	ycfT
TU0_6409	b2400	gltX	gltX
TU0_1022	b2673,b2674,b2676,b2675,b2673,b2674,b2676,b2675,b2673,b2674,b2676,b2675,b2673,b2674,b2676,b2675	nrdH,nrdI,nrdF,nrdE	nrdHIEF
TU0_2708	b3938	metJ	metJ
TU0_14353	b2082	ogrK	ogrK
TU00514	b2396,b2397,b2396,b2397	alaX,alaW	alaWX
TU0_13935	b3433	asd	asd
TU00131	b4119,b4120,b4119,b4120	melA,melB	melAB
TU0_13547	b2171	yeiP	yeiPp,yeiP
TU0_8613	b4199	yjfY	yjfY
TU0_13156	b1160	iraM	iraMp,iraM
TU0_6503	b2479	gcvR	gcvR
TU0_1184	b3759,b3758,b3757,b3756,b3759,b3758,b3757,b3756,b3759,b3758,b3757,b3756,b3759,b3758,b3757,b3756	rrfC,rrlC,gltU,rrsC	rrsC_gltU_rrlC_rrfC
TU0_3163	b0734,b0733,b0734,b0733	cydB,cydA	cydAB
TU0_14373	b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324,b3335,b3334,b3333,b3332,b3331,b3330,b3329,b3328,b3327,b3326,b3325,b3324	gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC	,gspO,gspM,gspL,gspK,gspJ,gspI,gspH,gspG,gspF,gspE,gspD,gspC,gspCp2
TU104	b1015	putP	putP
TU0_13953	b3488	yhiJ	yhiJ
TU00148	b2365,b2366,b2365,b2366	dsdX,dsdA	dsdXA
TU0_13563	b2230,b2229,b2228,b2227,b2226,b2225,b2230,b2229,b2228,b2227,b2226,b2225,b2230,b2229,b2228,b2227,b2226,b2225,b2230,b2229,b2228,b2227,b2226,b2225,b2230,b2229,b2228,b2227,b2226,b2225,b2230,b2229,b2228,b2227,b2226,b2225	yfaA,yfaT,yfaS_1,yfaS_2,yfaQ,yfaP	yfaA,yfaT,yfaS_1,yfaS_2,yfaQ,yfaP
TU0_8630	b4567	yjjZ	yjjZ
TU0_13172	b1185	dsbB	dsbB
TU0_6553	b4024	lysC	lysC
TU0_1261	b4225,b4224,b4225,b4224	chpB,chpS	chpSB
TU0_3426	b0378,b0377,b0378,b0377	yaiW,sbmA	sbmA_yaiW
TU0_14395	b0029,b0028,b0027,b0026,b0029,b0028,b0027,b0026,b0029,b0028,b0027,b0026,b0029,b0028,b0027,b0026	ispH,fkpB,lspA,ileS	ileS_lspA_fkpB_ispH
TU25	b1850	eda	eda
TU0_13972	b3538,b3537,b3536,b3538,b3537,b3536,b3538,b3537,b3536	bcsG,bcsF,bcsE	bcsG,bcsF,bcsE
TU00164	b0592	fepB	fepB
TU0_13579	b2290	alaA	alaA
TU0_8647	b4536	yobH	yobH
TU0_13190	b1255,b1254,b1255,b1254	yciC,yciB	,yciCp,yciC,yciB
TU0_6626	b1712,b1715,b1713,b1714,b1712,b1715,b1713,b1714,b1712,b1715,b1713,b1714,b1712,b1715,b1713,b1714	ihfA,pheM,pheT,pheS	pheMST_ihfA
TU0_12801	b0055	djlA	djlA
TU0_36403	b2217	rcsB	rcsB
TU0_14416	b1967	hchA	hchA
TU346	b4401	arcA	arcA
TU0_13989	b3594,b3593,b3594,b3593	yibA,rhsA	yibA,rhsA
TU00180	b1183,b1184,b1183,b1184	umuD,umuC	umuDC
TU0_13595	b2339	yfcV	yfcV
TU0_8664	b4212	ytfH	ytfH
TU0_13212	b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309,b4524,b1318,b1317,b1316,b1315,b1314,b1313,b1312,b1311,b1310,b1309	ymjB,ycjV,ycjU,ycjT,ycjS,ycjR,ycjQ,ycjP,ycjO,ycjN,ycjM	ymjB,ycjV,ycjU,ycjT,ycjS,ycjR,ycjQ,ycjP,ycjO,ycjN,ycjM
TU0_6657	b1716	rplT	rplT
TU0_12818	b0135	yadC	yadC
TU0_36427	b0345,b0346,b0345,b0346	lacI,mhpR	mhpR_lacI
TU0_14451	b0872,b0873,b0872,b0873	hcr,hcp	hcp_hcr
TU401	b3423,b3424,b3425,b3423,b3424,b3425,b3423,b3424,b3425	glpR,glpG,glpE	glpEGR
TU0_14004	b3648	gmk	gmkp,gmk
TU00196	b1817,b1818,b1819,b1817,b1818,b1819,b1817,b1818,b1819	manX,manY,manZ	manXYZ
TU0_13612	b2379	alaC	alaC
TU0_8683	b1087	yceF	yceF
TU0_13229	b1355,b4527,b1355,b4527	ydaG,ydaF	ydaG,ydaF
TU0_6885	b3360,b3361,b3362,b3360,b3361,b3362,b3360,b3361,b3362	pabA,fic,yhfG	yhfG_fic_pabA
TU0_12836	b0193	yaeF	yaeF
TU0_3862	b0020,b0019,b0020,b0019	nhaR,nhaA	nhaAR
TU0_14472	b1282,b1281,b1280,b1279,b1282,b1281,b1280,b1279,b1282,b1281,b1280,b1279,b1282,b1281,b1280,b1279	yciH,pyrF,lapB,lapA	yciSM_pyrF_yciH
TU488	b0440	hupB	hupB
TU0_1402	b3862	yihG	yihG
TU00212	b0996,b0997,b0998,b0996,b0997,b0998,b0996,b0997,b0998	torC,torA,torD	torCAD
TU0_13629	b2443	yffL	yffL
TU0_8700	b1422	ydcI	ydcI
TU0_13245	b1403,b1402,b1403,b1402	insC_2,insD_2,insCD_2	insC_2,insD_2,insCD_2
TU0_7081	b2943	galP	galP
TU0_12852	b0230	lafU	lafU
TU0_4161	b2477	bamC	bamC
TU0_14495	b0101	yacG	yacG
TU543	b3123	rnpB	rnpB
TU0_14036	b3779	gpp	gpp
TU0_13647	b2504	yfgG	yfgGp,yfgG
TU00226	b3957	argE	argE
TU0_13650	b2517	rlmN	rlmN
TU00229	b3415	gntT	gntT
TU0_8720	b1955	yedP	yedP
TU0_13264	b1434	sutR	sutRp,sutR
TU0_12871	b0277	yagK	yagKp6,yagK
TU0_7341	b2914	rpiA	rpiA
TU0_4183	b3622,b3621,b3620,b3619,b3622,b3621,b3620,b3619,b3622,b3621,b3620,b3619,b3622,b3621,b3620,b3619	waaL,waaC,waaF,rfaD	rfaDFCL
TU0_14521	b0342,b0343,b0342,b0343	lacA,lacY	lacYA
TU641	b0112	aroP	aroP
TU0_14056	b3850,b3849,b3848,b3847,b3850,b3849,b3848,b3847,b3850,b3849,b3848,b3847,b3850,b3849,b3848,b3847	hemG,trkH,yigZ,pepQ	pepQp,hemG,trkH,yigZ,pepQ
TU0_13667	b2560,b2559,b2560,b2559	pgpC,tadA	pgpCp,pgpC,tadA
TU00245	b4112,b4113,b4112,b4113	basS,basR	basRS
TU0_8736	b2408	yfeN	yfeN
TU0_13280	b1461	pptA	pptA
TU0_12887	b0308,b0307,b0306,b0308,b0307,b0306,b0308,b0307,b0306	ykgG,ykgF,ykgE	ykgG,ykgF,ykgE
TU0_7662	b3441	yhhY	yhhY
TU0_42252	b4476	gntU	,gntU
TU0_14537	b4384,b4383,b4382,b4384,b4383,b4382,b4384,b4383,b4382	deoD,deoB,deoA	deoA
TU723	b2733	mutS	mutS
TU0_14073	b3895	fdhD	fdhD
TU0_13686	b2620	smpB	smpB
TU00261	b4360,b4361,b4362,b4360,b4361,b4362,b4360,b4361,b4362	yjjA,dnaC,dnaT	dnaTC_yjjA
TU0_8753	b2989	yghU	yghU
TU0_13297	b1510	ydeK	ydeK
TU0_12905	b0362	yaiF	yaiF
TU0_7806	b0154	hemL	hemL
TU0_42460	b4416,b4705,b4416,b4705	rybA,mntS	rybA_mntS
TU0_14562	b4175,b4174,b4173,b4172,b4171,b4170,b4175,b4174,b4173,b4172,b4171,b4170,b4175,b4174,b4173,b4172,b4171,b4170,b4175,b4174,b4173,b4172,b4171,b4170,b4175,b4174,b4173,b4172,b4171,b4170,b4175,b4174,b4173,b4172,b4171,b4170	hflC,hflK,hflX,hfq,miaA,mutL	mutL_miaA_hfq_hflXKC
TU797	b3864	spf	spf
TU0_14094	b3955	eptC	eptC
TU00278	b3462,b3463,b3464,b3462,b3463,b3464,b3462,b3463,b3464	ftsX,ftsE,ftsY	ftsYEX
TU0_13700	b2647	ypjA	ypjA
TU0_8769	b3801	aslA	aslA
TU0_13313	b1542	ydfI	ydfI
TU0_8082	b2925,b2926,b2927,b2925,b2926,b2927,b2925,b2926,b2927	fbaA,pgk,epd	epd_pgk_fbaA
TU0_42480	b1779	gapA	gapA
TU0_14613	b0382	iraP	iraPp2,iraP
TU875	b3384,b3385,b3386,b3387,b3384,b3385,b3386,b3387,b3384,b3385,b3386,b3387,b3384,b3385,b3386,b3387	trpS,gph,rpe,dam	dam_rpe_gph_trpS
TU0_14117	b4048,b4047,b4048,b4047	yjbM,yjbL	yjbM,yjbL
TU00297	b1048,b1049,b1048,b1049	opgG,opgH	mdoGH
TU0_13716	b2696	csrA	csrAp3,csrA
TU0_8791	b1193	emtA	emtA
TU0_13330	b1574	dicF	dicF
TU0_8202	b2922	yggE	yggE
TU0_12939	b0456	ybaA	ybaA
TU0_42508	b0075	leuL	leuL
TU0_14634	b1866	aspS	aspSp1,,aspS
TU0_14133	b4110,b4109,b4110,b4109	yjcZ,crfC	yjdAp2,yjcZ,crfC
TU00313	b0133,b0134,b0133,b0134	panC,panB	panBC
TU0_13733	b2776,b2775,b2776,b2775	ygcE,yqcE	ygcE,yqcE
TU0_8811	b2753	iap	iap
TU0_13348	b1614	ydgA	ydgAp,ydgA
TU0_8267	b1741	cho	cho
TU0_12959	b0496,b0495,b0496,b0495	ybbP,ybbA	ybbP,ybbA
TU0_42530	b4713	agrB	agrB
TU0_14652	b2741	rpoS	rpoSp4,rpoS
TU0_14152	b4176	yjeT	yjeT
TU00332	b2566,b2567,b2566,b2567	era,rnc	rnc_era
TU0_13750	b2834	tas	tas
TU0_8827	b1529	marC	marC
TU0_13364	b1674,b1673,b1672,b1674,b1673,b1672,b1674,b1673,b1672	ydhY,ydhV,ydhW	ydhY,ydhV,ydhW
TU0_8335	b2558	mltF	mltF
