Object ID	Accession_1	Genes of transcription unit	Transcription_Units
TU0_8717	b1906	yecH	yecH
TU0_13261	b1431	ydcL	ydcL
TU0_12868	b0271,b0270,b0271,b0270	yagH,yagG	yagH,yagG
TU0_41806	b1558	cspF	cspF
TU0_14518	b1198	dhaM	dhaM
TU602	b1089,b1088,b1089,b1088	rpmF,yceD	yceD_rpmF
TU0_14053	b4483	tatD	tatD
TU0_13663	b2548,b2547,b2546,b2548,b2547,b2546,b2548,b2547,b2546	yphF,yphE,yphD	yphF,yphE,yphD
TU00242	b2714	ascG	ascG
TU0_8733	b2331	smrB	yfcN
TU0_13277	b1458	yncI	yncI
TU0_12884	b0303,b0301,b0303,b0301	rclB,rclC	rclB,rclC
TU0_7602	b0504	allS	allS
TU0_42202	b3230	rpsI	,rpsI
TU0_14533	b3855,b3854,b3855,b3854	rrfA,rrlA	rrlA_rrfA
TU702	b2679,b2678,b2677,b2679,b2678,b2677,b2679,b2678,b2677	proX,proW,proV	proVWX
TU0_14070	b3888,b3887,b3886,b3885,b3888,b3887,b3886,b3885,b3888,b3887,b3886,b3885,b3888,b3887,b3886,b3885	yiiD,dtd,yihY,yihX	yihXp,yiiD,dtd,yihY,yihX
TU0_13682	b4461	yfjD	yfjD
TU00258	b3287,b3288,b3287,b3288	def,fmt	def_fmt
TU0_8749	b2898	ygfZ	ygfZ
TU0_13294	b1505,b1504,b1503,b1505,b1504,b1503,b1505,b1504,b1503	ydeT,ydeS,ydeR	ydeT,ydeS,ydeR
TU0_12902	b0357,b0356,b0355,b0357,b0356,b0355,b0357,b0356,b0355	frmR,frmA,frmB	frmR,frmA,frmB
TU0_7803	b1641	slyB	slyB
TU0_42457	b2696	csrA	csrA
TU0_14558	b2754,b2755,b2756,b2757,b2754,b2755,b2756,b2757,b2754,b2755,b2756,b2757,b2754,b2755,b2756,b2757	cas2,cas1,casE,casD	casDE_ygbTF
TU794	b1276	acnA	acnA
TU0_14091	b3947,b3946,b3945,b3947,b3946,b3945,b3947,b3946,b3945	ptsA,fsaB,gldA	ptsA,fsaB,gldA
