Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
CPLX0-1601	Inner_Membrane	b1587(1:14)	Periplasm	t
CPLX0-1601	Inner_Membrane	b1590(1)	Inner_Membrane	r
CPLX0-1601	Inner_Membrane	b1588(1:15)	Periplasm	t
CPLX0-1601	Inner_Membrane	b1589(1:14)	Periplasm	t
NARU-MONOMER	Inner_Membrane	b1469(1)	Inner_Membrane	r
YDGEF-CPLX	Inner_Membrane	b1599(1)	Inner_Membrane	r
YDGEF-CPLX	Inner_Membrane	b1600(1)	Inner_Membrane	r
ANSB-CPLX	Periplasm	b2957(4)	Periplasm	s
EG11009-MONOMER	Outer_Membrane	b3035(1)	Outer_Membrane	sb
DSBD-MONOMER	Inner_Membrane	b4136(1)	Inner_Membrane	r
NITRATREDUCTZ-CPLX	Inner_Membrane	b1465(1)	Inner_Membrane	r
YGFO-MONOMER	Inner_Membrane	b2882(1)	Inner_Membrane	r
DCUA-MONOMER	Inner_Membrane	b4138(1)	Inner_Membrane	r
ALPHA-AMYL-PERI-MONOMER	Periplasm	b3571(1)	Periplasm	s
KUP-MONOMER	Inner_Membrane	b3747(1)	Inner_Membrane	r
PHOSNACMURPENTATRANS-MONOMER	Inner_Membrane	b0087(1)	Inner_Membrane	r
YJGT-MONOMER	Inner_Membrane	b4265(1)	Inner_Membrane	r
DCUB-MONOMER	Inner_Membrane	b4123(1)	Inner_Membrane	r
G6406-MONOMER	Periplasm	b0789(1)	Periplasm	s
G7533-MONOMER	Outer_Membrane	b2963(1)	Outer_Membrane	pla
YDEA-MONOMER	Inner_Membrane	b1528(1)	Inner_Membrane	r
EG11486-MONOMER	Inner_Membrane	b3792(1)	Inner_Membrane	r
EG10202-MONOMER	Periplasm	b3182(1)	Periplasm	s
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	Inner_Membrane	b4040(1)	Inner_Membrane	r
ABC-3-CPLX	Inner_Membrane	b2308(1)	Inner_Membrane	r
ABC-3-CPLX	Inner_Membrane	b2310(1)	Periplasm	s
ABC-3-CPLX	Inner_Membrane	b2307(1)	Inner_Membrane	r
B0511-MONOMER	Inner_Membrane	b0511(1)	Inner_Membrane	r
CYT-O-UBIOX-CPLX	Inner_Membrane	b0429(1)	Inner_Membrane	r
CYT-O-UBIOX-CPLX	Inner_Membrane	b0431(1)	Inner_Membrane	p
CYT-O-UBIOX-CPLX	Inner_Membrane	b0430(1)	Inner_Membrane	r
CYT-O-UBIOX-CPLX	Inner_Membrane	b0432(1)	Inner_Membrane	p
TNAB-MONOMER	Inner_Membrane	b3709(1)	Inner_Membrane	r
EG10950-MONOMER	Periplasm	b4392(1)	Periplasm	s
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	Inner_Membrane	b3835(1)	Inner_Membrane	r
ARAE-MONOMER	Inner_Membrane	b2841(1)	Inner_Membrane	r
TYRP-MONOMER	Inner_Membrane	b1907(1)	Inner_Membrane	r
CPLX-167	Inner_Membrane	b0679(2)	Inner_Membrane	r
MTR-MONOMER	Inner_Membrane	b3161(1)	Inner_Membrane	r
ABC-70-CPLX	Inner_Membrane	b3917(1)	Periplasm	s
ABC-70-CPLX	Inner_Membrane	b2423(1)	Inner_Membrane	r
ABC-70-CPLX	Inner_Membrane	b2424(1)	Inner_Membrane	r
YJDL-MONOMER	Inner_Membrane	b4130(1)	Inner_Membrane	r
CPLX0-7654	Inner_Membrane	b3927(4)	Inner_Membrane	r
EXUT-MONOMER	Inner_Membrane	b3093(1)	Inner_Membrane	r
ABC-51-CPLX	Inner_Membrane	b1443(1)	Inner_Membrane	p
ABC-51-CPLX	Inner_Membrane	b1442(1)	Inner_Membrane	p
ABC-51-CPLX	Inner_Membrane	b1440(1)	Periplasm	s
EG10780-MONOMER	Periplasm	b1308(1)	Periplasm	s
