Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
G6437-MONOMER	Periplasm	b0837(1)	Periplasm	s
CDPDIGLYSYN-MONOMER	Inner_Membrane	b0175(1)	Inner_Membrane	r
BRNQ-MONOMER	Inner_Membrane	b0401(1)	Inner_Membrane	r
G7322-MONOMER_G6561-MONOMER	Inner_Membrane	b2519(1)	Inner_Membrane	s
G7322-MONOMER_G6561-MONOMER	Inner_Membrane	b1069(1)	Inner_Membrane	r
ABC-7-CPLX	Inner_Membrane	b2423(1)	Inner_Membrane	r
ABC-7-CPLX	Inner_Membrane	b2424(1)	Inner_Membrane	r
ABC-7-CPLX	Inner_Membrane	b2425(1)	Periplasm	s
PNUC-MONOMER	Inner_Membrane	b0751(1)	Inner_Membrane	r
TREHALAPERI-MONOMER	Periplasm	b1197(1)	Periplasm	s
B2789-MONOMER	Inner_Membrane	b2789(1)	Inner_Membrane	r
KEFB-MONOMER	Inner_Membrane	b3350(1)	Inner_Membrane	r
YHHO-MONOMER	Inner_Membrane	b3469(1)	Inner_Membrane	r
CPLX0-1941	Outer_Membrane	b1252(1)	Inner_Membrane	r
CPLX0-1941	Outer_Membrane	b3005(1)	Inner_Membrane	s
CPLX0-1941	Outer_Membrane	b0584(1)	Outer_Membrane	sb
CPLX0-1941	Outer_Membrane	b3006(1)	Inner_Membrane	p
HYDROG3-CPLX	Inner_Membrane	b2722(1)	Inner_Membrane	r
HYDROG3-CPLX	Inner_Membrane	b2723(1)	Inner_Membrane	r
XAPB-MONOMER	Inner_Membrane	b2406(1)	Inner_Membrane	r
SUCC-DEHASE	Inner_Membrane	b0721(1)	Inner_Membrane	r
SUCC-DEHASE	Inner_Membrane	b0722(1)	Inner_Membrane	r
AAS-MONOMER	Inner_Membrane	b2836(1)	Inner_Membrane	r
EG12455-MONOMER	Inner_Membrane	b2835(1)	Inner_Membrane	r
CADB-MONOMER	Inner_Membrane	b4132(1)	Inner_Membrane	r
CPLX0-7534	Outer_Membrane	b0929(3)	Outer_Membrane	sb
TRKA-MONOMER_SAPD-MONOMER_TRKG-MONOMER	Inner_Membrane	b1363(1)	Inner_Membrane	p
MELB-MONOMER	Inner_Membrane	b4120(1)	Inner_Membrane	r
NADH-DHI-CPLX	Inner_Membrane	b2288(1)	Inner_Membrane	p
NADH-DHI-CPLX	Inner_Membrane	b2277(1)	Inner_Membrane	r
NADH-DHI-CPLX	Inner_Membrane	b2280(1)	Inner_Membrane	r
NADH-DHI-CPLX	Inner_Membrane	b2279(1)	Inner_Membrane	p
NADH-DHI-CPLX	Inner_Membrane	b2278(1)	Inner_Membrane	r
NADH-DHI-CPLX	Inner_Membrane	b2282(1)	Inner_Membrane	r
NADH-DHI-CPLX	Inner_Membrane	b2276(1)	Inner_Membrane	r
CPLX-63	Inner_Membrane	b1872(1:26)	Periplasm	t
CPLX-63	Inner_Membrane	b1873(1)	Inner_Membrane	s
DIACYLGLYKIN-CPLX	Inner_Membrane	b4042(3)	Inner_Membrane	r
EG10280-MONOMER	Outer_Membrane	b2344(1)	Outer_Membrane	sb
EIISGA	Inner_Membrane	b4193(2)	Inner_Membrane	r
HCAT-MONOMER	Inner_Membrane	b2536(1)	Inner_Membrane	r
USHA-MONOMER	Periplasm	b0480(1)	Periplasm	s
FORMHYDROG2-CPLX	Inner_Membrane	b2994(1:14)	Periplasm	t
FORMHYDROG2-CPLX	Inner_Membrane	b2995(1)	Inner_Membrane	p
FORMHYDROG2-CPLX	Inner_Membrane	b2996(1:21)	Periplasm	t
FORMHYDROG2-CPLX	Inner_Membrane	b2997(1:14)	Periplasm	t
CORA-MONOMER	Inner_Membrane	b3816(1)	Inner_Membrane	p
EG11665-MONOMER	Inner_Membrane	b3057(1)	Inner_Membrane	r
G6260-MONOMER	Inner_Membrane	b0484(1)	Inner_Membrane	r
EG12713-MONOMER	Inner_Membrane	b1473(1)	Inner_Membrane	r
CPLX0-3932	Outer_Membrane	b0463(1)	Inner_Membrane	pa
CPLX0-3932	Outer_Membrane	b2470(1)	Inner_Membrane	r
CPLX0-3932	Outer_Membrane	b3035(1)	Outer_Membrane	sb
CYNX-MONOMER	Inner_Membrane	b0341(1)	Inner_Membrane	r
AROP-MONOMER	Inner_Membrane	b0112(1)	Inner_Membrane	r
TRKA-MONOMER_SAPD-MONOMER_TRKH-MONOMER	Inner_Membrane	b3849(1)	Inner_Membrane	r
YJCG-MONOMER	Inner_Membrane	b4067(1)	Inner_Membrane	r
MGTA-MONOMER	Inner_Membrane	b4242(1)	Inner_Membrane	r
KGTP-MONOMER	Inner_Membrane	b2587(1)	Inner_Membrane	r
HEMEOSYN-MONOMER	Inner_Membrane	b0428(1)	Inner_Membrane	r
DCUC-MONOMER	Inner_Membrane	b0621(1)	Inner_Membrane	r
YHIP-MONOMER	Inner_Membrane	b3496(1)	Inner_Membrane	r
B1634-MONOMER	Inner_Membrane	b1634(1)	Inner_Membrane	r
EG11373-MONOMER	Periplasm	b2558(1)	Periplasm	s
CPLX-722	Periplasm	b0980(2)	Periplasm	s
YBDA-MONOMER	Inner_Membrane	b0591(1)	Inner_Membrane	r
APP-UBIOX-CPLX	Inner_Membrane	b0978(1)	Inner_Membrane	r
APP-UBIOX-CPLX	Inner_Membrane	b0979(1)	Inner_Membrane	r
YFEP-MONOMER	Inner_Membrane	b2392(1)	Inner_Membrane	r
NUPG-MONOMER	Inner_Membrane	b2964(1)	Inner_Membrane	r
CYT-D-UBIOX-CPLX	Inner_Membrane	b0733(1)	Inner_Membrane	r
CYT-D-UBIOX-CPLX	Inner_Membrane	b0734(1)	Inner_Membrane	r
YGJU-MONOMER	Inner_Membrane	b3089(1)	Inner_Membrane	r
RHTB-MONOMER	Inner_Membrane	b3824(1)	Inner_Membrane	r
GLTP-MONOMER	Inner_Membrane	b4077(1)	Inner_Membrane	r
PGPPHOSPHAA-MONOMER	Inner_Membrane	b0418(1)	Inner_Membrane	r
EG11167-MONOMER	Inner_Membrane	b3040(1)	Inner_Membrane	r
GNTU-MONOMER	Inner_Membrane	b4476(1)	Inner_Membrane	r
EG12013-MONOMER	Periplasm	b2132(1)	Periplasm	s
B0752-MONOMER	Inner_Membrane	b0752(1)	Inner_Membrane	r
B1006-MONOMER	Inner_Membrane	b1006(1)	Inner_Membrane	r
EG11424-MONOMER	Inner_Membrane	b3622(1)	Inner_Membrane	r
ABC-28-CPLX_EG10817-MONOMER	Inner_Membrane	b3751(1)	Periplasm	s
ABC-28-CPLX_EG10817-MONOMER	Inner_Membrane	b3750(1)	Inner_Membrane	r
FORMATEDEHYDROGO-CPLX	Inner_Membrane	b3892(1)	Inner_Membrane	r
FORMATEDEHYDROGO-CPLX	Inner_Membrane	b3893(1:15.5)	Inner_Membrane	t
FORMATEDEHYDROGO-CPLX	Inner_Membrane	b3894(1:15.5)	Periplasm	t
ABC-18-CPLX	Inner_Membrane	b2150(1)	Periplasm	s
ABC-18-CPLX	Inner_Membrane	b2148(2)	Inner_Membrane	r
NITRATREDUCTA-CPLX	Inner_Membrane	b1227(1)	Inner_Membrane	r
FHLMULTI-CPLX	Inner_Membrane	b2722(1)	Inner_Membrane	r
FHLMULTI-CPLX	Inner_Membrane	b2723(1)	Inner_Membrane	r
ATPSYN-CPLX_EG10106-MONOMER	Inner_Membrane	b3736(1)	Inner_Membrane	r
ATPSYN-CPLX_EG10106-MONOMER	Inner_Membrane	b3731(1)	Inner_Membrane	y
ATPSYN-CPLX_EG10106-MONOMER	Inner_Membrane	b3739(1)	Inner_Membrane	r
ATPSYN-CPLX_EG10106-MONOMER	Inner_Membrane	b3738(1)	Inner_Membrane	p
ATPSYN-CPLX_EG10106-MONOMER	Inner_Membrane	b3737(1)	Inner_Membrane	r
DMK-MONOMER	Inner_Membrane	b3930(1)	Inner_Membrane	r
NRFMULTI-CPLX	Inner_Membrane	b4071(1)	Periplasm	s
NRFMULTI-CPLX	Inner_Membrane	b4070(1)	Periplasm	s
NRFMULTI-CPLX	Inner_Membrane	b4073(1)	Inner_Membrane	r
NRFMULTI-CPLX	Inner_Membrane	b4072(1:20)	Periplasm	t
G6439-MONOMER	Inner_Membrane	b0841(1)	Inner_Membrane	r
B0612-MONOMER	Inner_Membrane	b0612(1)	Inner_Membrane	r
BETT-MONOMER	Inner_Membrane	b0314(1)	Inner_Membrane	r
CPLX0-7674	Inner_Membrane	b1250(4)	Inner_Membrane	r
ABC-49-CPLX	Inner_Membrane	b0831(1)	Inner_Membrane	r
ABC-49-CPLX	Inner_Membrane	b0832(1)	Inner_Membrane	r
ABC-15-CPLX	Inner_Membrane	b3460(1)	Periplasm	s
ABC-15-CPLX	Inner_Membrane	b3456(1)	Inner_Membrane	p
ABC-15-CPLX	Inner_Membrane	b3457(1)	Inner_Membrane	r
UHPT-MONOMER	Inner_Membrane	b3666(1)	Inner_Membrane	r
CPLX0-7906	Inner_Membrane	b0040(3)	Inner_Membrane	r
PITA-MONOMER	Inner_Membrane	b3493(1)	Inner_Membrane	r
DSBBPROT-MONOMER	Inner_Membrane	b1185(1)	Inner_Membrane	r
CPLX0-3976_edit	Inner_Membrane	b3785(1)	Inner_Membrane	r
CPLX0-3976_edit	Inner_Membrane	b3793(1)	Inner_Membrane	r
CPLX0-3201	Periplasm	b2328(2)	Periplasm	s
YRBG-MONOMER	Inner_Membrane	b3196(1)	Inner_Membrane	r
B0260-MONOMER	Inner_Membrane	b0260(1)	Inner_Membrane	r
CPLX0-7	Inner_Membrane	b2429(1)	Inner_Membrane	r
CPLX-169	Inner_Membrane	b2703(1)	Inner_Membrane	r
CPLX-169	Inner_Membrane	b2702(1)	Inner_Membrane	r
FORMHYDROGI-CPLX	Inner_Membrane	b0974(1)	Inner_Membrane	r
FORMHYDROGI-CPLX	Inner_Membrane	b0972(1:14)	Inner_Membrane	t
FORMHYDROGI-CPLX	Inner_Membrane	b0973(1:14)	Periplasm	t
MYRISTOYLACYLTRAN-MONOMER	Inner_Membrane	b1855(1)	Inner_Membrane	y
PHOSPHAGLYPSYN-MONOMER	Inner_Membrane	b1912(1)	Inner_Membrane	r
ABC-24-CPLX	Inner_Membrane	b1124(1)	Inner_Membrane	r
ABC-24-CPLX	Inner_Membrane	b1125(1)	Inner_Membrane	r
ABC-24-CPLX	Inner_Membrane	b1123(1)	Periplasm	s
XYLE-MONOMER	Inner_Membrane	b4031(1)	Inner_Membrane	p
NANT-MONOMER	Inner_Membrane	b3224(1)	Inner_Membrane	r
EG11639-MONOMER	Inner_Membrane	b1533(1)	Inner_Membrane	r
DSBG-CPLX	Periplasm	b0604(2)	Periplasm	s
SHIA-MONOMER	Inner_Membrane	b1981(1)	Inner_Membrane	r
ABC-42-CPLX	Inner_Membrane	b4088(1)	Periplasm	s
ABC-42-CPLX	Inner_Membrane	b4086(2)	Inner_Membrane	r
CPLX0-7720	Inner_Membrane	b2258(1)	Inner_Membrane	r
CPLX0-7720	Inner_Membrane	b4544(1)	Inner_Membrane	r
LYSP-MONOMER	Inner_Membrane	b2156(1)	Inner_Membrane	r
ABC-2-CPLX	Inner_Membrane	b1901(1)	Periplasm	s
ABC-2-CPLX	Inner_Membrane	b4460(2)	Inner_Membrane	r
YAAJ-MONOMER	Inner_Membrane	b0007(1)	Inner_Membrane	p
CPLX0-231	Inner_Membrane	b2092(2)	Inner_Membrane	r
ABC-20-CPLX	Inner_Membrane	b3476(1)	Periplasm	s
ABC-20-CPLX	Inner_Membrane	b3477(1)	Inner_Membrane	r
ABC-20-CPLX	Inner_Membrane	b3478(1)	Inner_Membrane	r
NIRC-MONOMER	Inner_Membrane	b3367(1)	Inner_Membrane	r
CPLX0-1942	Outer_Membrane	b1252(1)	Inner_Membrane	r
CPLX0-1942	Outer_Membrane	b0150(1)	Outer_Membrane	sb
CPLX0-1942	Outer_Membrane	b3005(1)	Inner_Membrane	s
CPLX0-1942	Outer_Membrane	b3006(1)	Inner_Membrane	p
GLPT-MONOMER	Inner_Membrane	b2240(1)	Inner_Membrane	r
CPLX0-7535	Inner_Membrane	b4115(2)	Inner_Membrane	r
PHEP-MONOMER	Inner_Membrane	b0576(1)	Inner_Membrane	r
CHAA-MONOMER	Inner_Membrane	b1216(1)	Inner_Membrane	r
ABC-12-CPLX	Inner_Membrane	b0811(1)	Periplasm	s
ABC-12-CPLX	Inner_Membrane	b0810(2)	Inner_Membrane	r
APHA-CPLX	Periplasm	b4055(4)	Periplasm	s
CPLX0-7653	Inner_Membrane	b0875(4)	Inner_Membrane	r
B0070-MONOMER	Inner_Membrane	b0070(1)	Inner_Membrane	r
G7410-MONOMER	Outer_Membrane	b2701(1)	Outer_Membrane	pla
G7167-MONOMER	Inner_Membrane	b2254(1)	Inner_Membrane	r
GABP-MONOMER	Inner_Membrane	b2663(1)	Inner_Membrane	r
CPLX0-1721	Outer_Membrane	b0572(1)	Outer_Membrane	pla
CPLX0-1721	Outer_Membrane	b0573(1)	Periplasm	s
CPLX0-1721	Outer_Membrane	b0574(1)	Periplasm	s
CPLX0-1721	Outer_Membrane	b0575(3)	Inner_Membrane	r
CPLX0-250_FORMATEDEHYDROGH-MONOMER	Inner_Membrane	b2484(1)	Inner_Membrane	r
CPLX0-250_FORMATEDEHYDROGH-MONOMER	Inner_Membrane	b2486(1)	Inner_Membrane	r
CPLX0-250_FORMATEDEHYDROGH-MONOMER	Inner_Membrane	b2485(1)	Inner_Membrane	r
CPLX0-250_FORMATEDEHYDROGH-MONOMER	Inner_Membrane	b2482(1)	Inner_Membrane	r
CPLX0-250_FORMATEDEHYDROGH-MONOMER	Inner_Membrane	b2483(1)	Inner_Membrane	r
RHAT-MONOMER	Inner_Membrane	b3907(1)	Inner_Membrane	r
NHAB-MONOMER	Inner_Membrane	b1186(1)	Inner_Membrane	r
B2170-MONOMER	Inner_Membrane	b2170(1)	Inner_Membrane	r
RHTC-MONOMER	Inner_Membrane	b3823(1)	Inner_Membrane	r
ATPASE-1-CPLX_no_MONOMER0-12	Inner_Membrane	b0698(1)	Inner_Membrane	r
ATPASE-1-CPLX_no_MONOMER0-12	Inner_Membrane	b0697(1)	Inner_Membrane	r
ABC-11-CPLX	Inner_Membrane	b0152(1:21)	Periplasm	t
ABC-11-CPLX	Inner_Membrane	b0153(2)	Inner_Membrane	r
ABC-14-CPLX	Inner_Membrane	b2309(1)	Periplasm	s
ABC-14-CPLX	Inner_Membrane	b2308(1)	Inner_Membrane	r
ABC-14-CPLX	Inner_Membrane	b2307(1)	Inner_Membrane	r
CPLX0-7819	Inner_Membrane	b0047(2)	Inner_Membrane	r
YCHM-MONOMER	Inner_Membrane	b1206(1)	Inner_Membrane	r
ABC-27-CPLX	Inner_Membrane	b3728(1)	Periplasm	s
ABC-27-CPLX	Inner_Membrane	b3726(1)	Inner_Membrane	r
ABC-27-CPLX	Inner_Membrane	b3727(1)	Inner_Membrane	r
CPLX0-7717	Inner_Membrane	b3396(2)	Inner_Membrane	s
CPLX0-1923_EG10306-MONOMER	Outer_Membrane	b1102(1)	Outer_Membrane	sb
CPLX0-1923_EG10306-MONOMER	Outer_Membrane	b3005(1)	Inner_Membrane	s
CPLX0-1923_EG10306-MONOMER	Outer_Membrane	b1252(1)	Inner_Membrane	r
CPLX0-1923_EG10306-MONOMER	Outer_Membrane	b3006(1)	Inner_Membrane	p
B1296-MONOMER	Inner_Membrane	b1296(1)	Inner_Membrane	r
ABC-56-CPLX	Inner_Membrane	b0934(2)	Inner_Membrane	r
ABC-56-CPLX	Inner_Membrane	b0936(1)	Periplasm	s
RFBX-MONOMER	Inner_Membrane	b2037(1)	Inner_Membrane	p
B0709-MONOMER	Inner_Membrane	b0709(1)	Inner_Membrane	p
CPLX0-1581	Outer_Membrane	b0622(2)	Outer_Membrane	sb
GLUCDEHYDROG-MONOMER	Inner_Membrane	b0124(1)	Inner_Membrane	r
GNTT-MONOMER	Inner_Membrane	b3415(1)	Inner_Membrane	r
MONOMER0-341	Outer_Membrane	b3821(1)	Outer_Membrane	sb
CPLX0-7717_G6561-MONOMER	Inner_Membrane	b1069(1)	Inner_Membrane	r
CPLX0-7717_G6561-MONOMER	Inner_Membrane	b3396(2)	Inner_Membrane	s
DCTA-MONOMER	Inner_Membrane	b3528(1)	Inner_Membrane	r
CPLX-157	Inner_Membrane	b1101(2)	Inner_Membrane	r
CPLX-163	Inner_Membrane	b0731(2)	Inner_Membrane	r
GALP-MONOMER	Inner_Membrane	b2943(1)	Inner_Membrane	r
ALDOSE1EPIM-MONOMER	Periplasm	b0756(1)	Periplasm	s
AMINEOXID-CPLX	Periplasm	b1386(2)	Periplasm	s
CPLX0-7843	Inner_Membrane	b0904(5)	Inner_Membrane	r
CPLX-168	Inner_Membrane	b4240(2)	Inner_Membrane	r
EG10606-MONOMER	Inner_Membrane	b0635(1)	Inner_Membrane	r
ABC-34-CPLX	Inner_Membrane	b3452(1)	Inner_Membrane	r
ABC-34-CPLX	Inner_Membrane	b3453(1)	Periplasm	s
ABC-34-CPLX	Inner_Membrane	b3451(1)	Inner_Membrane	r
TRANS-CPLX-203	Inner_Membrane	b3577(1)	Inner_Membrane	r
TRANS-CPLX-203	Inner_Membrane	b3579(1)	Periplasm	s
TRANS-CPLX-203	Inner_Membrane	b3578(1)	Inner_Membrane	r
NUPC-MONOMER	Inner_Membrane	b2393(1)	Inner_Membrane	r
ABC-26-CPLX	Inner_Membrane	b2678(2)	Inner_Membrane	p
ABC-26-CPLX	Inner_Membrane	b2679(1)	Periplasm	s
G6622-MONOMER	Outer_Membrane	b1193(1)	Outer_Membrane	pla
DSBC-CPLX	Periplasm	b2893(2)	Periplasm	s
PYRNUTRANSHYDROGEN-CPLX	Inner_Membrane	b1602(2)	Inner_Membrane	r
PYRNUTRANSHYDROGEN-CPLX	Inner_Membrane	b1603(2)	Inner_Membrane	r
YEAV-MONOMER	Inner_Membrane	b1801(1)	Inner_Membrane	r
ABC-25-CPLX	Inner_Membrane	b0857(1)	Inner_Membrane	p
ABC-25-CPLX	Inner_Membrane	b0856(1)	Inner_Membrane	r
ABC-25-CPLX	Inner_Membrane	b0854(1)	Periplasm	s
ABC-33-CPLX	Inner_Membrane	b3566(1)	Periplasm	s
ABC-33-CPLX	Inner_Membrane	b3568(2)	Inner_Membrane	r
FUMARATE-REDUCTASE	Inner_Membrane	b4152(1)	Inner_Membrane	r
FUMARATE-REDUCTASE	Inner_Membrane	b4151(1)	Inner_Membrane	r
POTE-MONOMER	Inner_Membrane	b0692(1)	Inner_Membrane	r
LCTP-MONOMER	Inner_Membrane	b3603(1)	Inner_Membrane	r
G6886-MONOMER	Periplasm	b1646(1)	Periplasm	s
CMR-MONOMER	Inner_Membrane	b0842(1)	Inner_Membrane	p
CPLX-164	Inner_Membrane	b1621(2)	Inner_Membrane	r
PGPPHOSPHAB-MONOMER	Inner_Membrane	b1278(1)	Inner_Membrane	r
NAP-CPLX	Inner_Membrane	b2202(1)	Inner_Membrane	r
NAP-CPLX	Inner_Membrane	b2203(1)	Periplasm	s
NAP-CPLX	Inner_Membrane	b2204(1)	Inner_Membrane	r
NAP-CPLX	Inner_Membrane	b2205(1:20)	Periplasm	t
NAP-CPLX	Inner_Membrane	b2206(1:27)	Periplasm	t
ABC-5-CPLX	Inner_Membrane	b0158(1)	Periplasm	s
ABC-5-CPLX	Inner_Membrane	b1711(2)	Inner_Membrane	r
GLYCPDIESTER-PERI-CPLX	Periplasm	b2239(2)	Periplasm	s
GLTS-MONOMER	Inner_Membrane	b3653(1)	Inner_Membrane	r
EG12015-MONOMER	Periplasm	b2134(1)	Periplasm	s
EG12318-MONOMER	Periplasm	b0123(1:23)	Periplasm	t
ABC-304-CPLX	Inner_Membrane	b3458(1)	Periplasm	s
ABC-304-CPLX	Inner_Membrane	b3456(1)	Inner_Membrane	p
ABC-304-CPLX	Inner_Membrane	b3457(1)	Inner_Membrane	r
EG12445-MONOMER	Inner_Membrane	b2578(1)	Inner_Membrane	r
CPLX0-7629	Inner_Membrane	b0019(2)	Inner_Membrane	r
CPLX-158	Inner_Membrane	b2167(2)	Inner_Membrane	r
CPLX0-2141	Outer_Membrane	b3265(1)	Inner_Membrane	pa
CPLX0-2141	Outer_Membrane	b3035(1)	Outer_Membrane	sb
CPLX0-2141	Outer_Membrane	b3266(1)	Inner_Membrane	r
ABC-63-CPLX	Inner_Membrane	b1859(2)	Inner_Membrane	r
ABC-63-CPLX	Inner_Membrane	b1857(1)	Periplasm	s
EG11035-MONOMER	Outer_Membrane	b0411(1)	Outer_Membrane	sb
CPDB-MONOMER	Periplasm	b4213(1)	Periplasm	s
G7458-MONOMER	Periplasm	b2817(1:22)	Periplasm	t
CPLX-165	Inner_Membrane	b1818(2)	Inner_Membrane	r
CPLX-165	Inner_Membrane	b1819(1)	Inner_Membrane	r
ABC-35-CPLX	Inner_Membrane	b2200(1)	Inner_Membrane	r
ABC-35-CPLX	Inner_Membrane	b2197(1)	Periplasm	s
ABC-35-CPLX	Inner_Membrane	b2198(1)	Inner_Membrane	r
ABC-35-CPLX	Inner_Membrane	b2199(1)	Inner_Membrane	p
CPLX0-3951	Inner_Membrane	b0149(2)	Inner_Membrane	s
EG10168-MONOMER	Inner_Membrane	b0657(1)	Inner_Membrane	r
CODB-MONOMER	Inner_Membrane	b0336(1)	Inner_Membrane	r
EG10669-MONOMER	Outer_Membrane	b0957(1)	Outer_Membrane	sb
ALKAPHOSPHA-CPLX	Periplasm	b0383(2)	Periplasm	s
ATPASE-1-CPLX	Inner_Membrane	b0698(1)	Inner_Membrane	r
ATPASE-1-CPLX	Inner_Membrane	b4513(1)	Inner_Membrane	r
ATPASE-1-CPLX	Inner_Membrane	b0697(1)	Inner_Membrane	r
YNFJ-MONOMER	Inner_Membrane	b1592(1)	Inner_Membrane	r
ABC-4-CPLX	Inner_Membrane	b0862(1)	Inner_Membrane	p
ABC-4-CPLX	Inner_Membrane	b0863(1)	Periplasm	s
ABC-4-CPLX	Inner_Membrane	b0860(1)	Periplasm	s
ABC-4-CPLX	Inner_Membrane	b0861(1)	Inner_Membrane	p
CPLX0-7704	Inner_Membrane	b0914(2)	Inner_Membrane	r
NAPAB-CPLX_NAPC-MONOMER	Inner_Membrane	b2202(1)	Inner_Membrane	r
NAPAB-CPLX_NAPC-MONOMER	Inner_Membrane	b2203(1)	Periplasm	s
NAPAB-CPLX_NAPC-MONOMER	Inner_Membrane	b2206(1:27)	Periplasm	t
ABC-13-CPLX	Inner_Membrane	b0655(1)	Periplasm	s
ABC-13-CPLX	Inner_Membrane	b0654(1)	Inner_Membrane	r
ABC-13-CPLX	Inner_Membrane	b0653(1)	Inner_Membrane	r
EG10201-MONOMER	Inner_Membrane	b0632(1)	Inner_Membrane	r
CPLX-153	Inner_Membrane	b2715(2)	Inner_Membrane	r
ABC-8-CPLX	Inner_Membrane	b3542(1)	Inner_Membrane	r
ABC-8-CPLX	Inner_Membrane	b3543(1)	Inner_Membrane	r
ABC-8-CPLX	Inner_Membrane	b3544(1)	Periplasm	s
G7146-MONOMER	Inner_Membrane	b2174(1)	Inner_Membrane	r
URAA-MONOMER	Inner_Membrane	b2497(1)	Inner_Membrane	r
ABC-40-CPLX	Inner_Membrane	b2128(1)	Inner_Membrane	r
ABC-40-CPLX	Inner_Membrane	b2130(1)	Inner_Membrane	r
ABC-40-CPLX	Inner_Membrane	b2131(1)	Periplasm	s
YHAU-MONOMER	Inner_Membrane	b3127(1)	Inner_Membrane	r
ABC-22-CPLX	Inner_Membrane	b1245(1)	Inner_Membrane	r
ABC-22-CPLX	Inner_Membrane	b1244(1)	Inner_Membrane	r
ABC-22-CPLX	Inner_Membrane	b1243(1)	Periplasm	s
ARCD-MONOMER	Inner_Membrane	b1605(1)	Inner_Membrane	r
ABC-32-CPLX	Inner_Membrane	b0067(2)	Inner_Membrane	r
ABC-32-CPLX	Inner_Membrane	b0068(1)	Inner_Membrane	r
CPLX0-3970	Inner_Membrane	b1245(1)	Inner_Membrane	r
