Modified_enzyme	Core_enzyme	Modifications	Source
ACETYL-COA-CARBOXYLMULTI-CPLX_mod_btn	ACETYL-COA-CARBOXYLMULTI-CPLX	btn()	M_protein_recon
ACETOLACTSYNI-CPLX_mod_mg2_mod_fad_mod_thmpp	ACETOLACTSYNI-CPLX	mg2() AND fad() AND thmpp()	M_protein_recon
PABASYN-CPLX_mod_mg2	PABASYN-CPLX	mg2()	M_protein_recon
2OXOGLUTARATEDEH-CPLX_mod_mg2_mod_lipo	2OXOGLUTARATEDEH-CPLX	mg2() AND lipo()	M_protein_recon
ANTHRANSYN-CPLX_mod_mg2	ANTHRANSYN-CPLX	mg2()	M_protein_recon
ANTHRANSYN-CPLX_mod_cobalt2	ANTHRANSYN-CPLX	cobalt2()	M_protein_recon
ANTHRANSYN-CPLX_mod_fe2	ANTHRANSYN-CPLX	fe2()	M_protein_recon
ASPCARBTRANS-CPLX_mod_zn2	ASPCARBTRANS-CPLX	zn2()	M_protein_recon
ATPSYN-CPLX_mod_mg2	ATPSYN-CPLX	mg2()	M_protein_recon
CARBPSYN-CPLX_mod_mg2	CARBPSYN-CPLX	mg2()	M_protein_recon
CARBPSYN-CPLX_mod_mn2	CARBPSYN-CPLX	mn2()	M_protein_recon
CARBPSYN-CPLX_mod_cobalt2	CARBPSYN-CPLX	cobalt2()	M_protein_recon
CARBPSYN-CPLX_mod_cd2	CARBPSYN-CPLX	cd2()	M_protein_recon
CARBPSYN-CPLX_mod_zn2	CARBPSYN-CPLX	zn2()	M_protein_recon
APP-UBIOX-CPLX_mod_pheme_mod_hemed	APP-UBIOX-CPLX	pheme() AND hemed()	M_protein_recon
CYT-D-UBIOX-CPLX_mod_pheme_mod_hemed	CYT-D-UBIOX-CPLX	pheme() AND hemed()	M_protein_recon
CYT-O-UBIOX-CPLX_mod_pheme_mod_cu2	CYT-O-UBIOX-CPLX	pheme() AND cu2()	M_protein_recon
DIMESULFREDUCT-CPLX_mod_bmocogdp	DIMESULFREDUCT-CPLX	bmocogdp()	M_protein_recon
ETHAMLY-CPLX_mod_adocbl	ETHAMLY-CPLX	adocbl()	M_protein_recon
SULFITE-REDUCT-CPLX_mod_4fe4s_mod_sheme_mod_fmn_mod_fad	SULFITE-REDUCT-CPLX	4fe4s() AND sheme() AND fmn() AND fad()	M_protein_recon
FORMATEDEHYDROGO-CPLX_mod_bmocogdp	FORMATEDEHYDROGO-CPLX	bmocogdp()	M_protein_recon
FORMATEDEHYDROGN-CPLX_mod_bmocogdp	FORMATEDEHYDROGN-CPLX	bmocogdp()	M_protein_recon
