Modified_enzyme	Core_enzyme	Modifications	Source
HYDROG3-CPLX_mod_ni2	HYDROG3-CPLX	ni2()	M_protein_recon
FUMARATE-REDUCTASE_mod_1:pheme_mod_3fe4s_mod_4fe4s_mod_fad_mod_2fe2s	FUMARATE-REDUCTASE	pheme(1) AND 3fe4s() AND 4fe4s() AND fad() AND 2fe2s()	M_protein_recon
ANGLYC3PDEHYDROG-CPLX_mod_fmn	ANGLYC3PDEHYDROG-CPLX	fmn()	M_protein_recon
GLUTAMATESYN-CPLX_mod_fe2_mod_fad	GLUTAMATESYN-CPLX	fe2() AND fad()	M_protein_recon
FORMHYDROGI-CPLX_mod_ni2_mod_4fe4s	FORMHYDROGI-CPLX	ni2() AND 4fe4s()	M_protein_recon
FORMHYDROG2-CPLX_mod_ni2_mod_fe2	FORMHYDROG2-CPLX	ni2() AND fe2()	M_protein_recon
NADH-DHI-CPLX_mod_2fe2s_mod_4fe4s_mod_fmn	NADH-DHI-CPLX	2fe2s() AND 4fe4s() AND fmn()	M_protein_recon
NITRITREDUCT-CPLX_mod_2fe2s_mod_fad_mod_sheme	NITRITREDUCT-CPLX	2fe2s() AND fad() AND sheme()	M_protein_recon
PYRUVATEDEH-CPLX_mod_mg2_mod_fad_mod_thmpp_mod_lipo	PYRUVATEDEH-CPLX	mg2() AND fad() AND thmpp() AND lipo()	M_protein_recon
Phe_RS_tetra_mod_mg2	Phe_RS_tetra	mg2()	M_protein_recon
SUCC-DEHASE_mod_3fe4s_mod_fad_mod_2fe2s_mod_4fe4s	SUCC-DEHASE	3fe4s() AND fad() AND 2fe2s() AND 4fe4s()	M_protein_recon
LTARTDEHYDRA-CPLX_mod_4fe4s	LTARTDEHYDRA-CPLX	4fe4s()	M_protein_recon
TMAOREDUCTI-CPLX_mod_bmocogdp	TMAOREDUCTI-CPLX	bmocogdp()	M_protein_recon
TRYPSYN_mod_pydx5p	TRYPSYN	pydx5p()	M_protein_recon
CPLX0-1762_mod_fad_mod_2fe2s	CPLX0-1762	fad() AND 2fe2s()	M_protein_recon
AAS-MONOMER_mod_mg2	AAS-MONOMER	mg2()	M_protein_recon
CPLX0-1_mod_fad	CPLX0-1	fad()	M_protein_recon
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX_mod_mg2_mod_fe2	RIBONUCLEOSIDE-DIP-REDUCTI-CPLX	mg2() AND fe2()	M_protein_recon
CPLX0-301_mod_mn2	CPLX0-301	mn2()	M_protein_recon
PHOSGLYCMUTASE_mod_23bpg	PHOSGLYCMUTASE	23bpg()	M_protein_recon
PPPGPPHYDRO-CPLX_mod_nh4_mod_mg2	PPPGPPHYDRO-CPLX	nh4() AND mg2()	M_protein_recon
CPLX0-7630_mod_ca2	CPLX0-7630	ca2()	M_protein_recon
ALPHA-AMYL-PERI-MONOMER_mod_ca2	ALPHA-AMYL-PERI-MONOMER	ca2()	M_protein_recon
G6437-MONOMER_mod_ca2_mod_pqq	G6437-MONOMER	ca2() AND pqq()	M_protein_recon
GLYCPDIESTER-PERI-CPLX_mod_ca2	GLYCPDIESTER-PERI-CPLX	ca2()	M_protein_recon
DIACYLGLYKIN-CPLX_mod_cd2_mod_zn2_mod_mg2_mod_mn2_mod_cobalt2	DIACYLGLYKIN-CPLX	cd2() AND zn2() AND mg2() AND mn2() AND cobalt2()	M_protein_recon
AROB-MONOMER_mod_cobalt2_mod_nad	AROB-MONOMER	cobalt2() AND nad()	M_protein_recon
EG11817-MONOMER_mod_cobalt2	EG11817-MONOMER	cobalt2()	M_protein_recon
EG11957-MONOMER_mod_cobalt2	EG11957-MONOMER	cobalt2()	M_protein_recon
CPLX0-7625_mod_cobalt2	CPLX0-7625	cobalt2()	M_protein_recon
CPLX0-7622_mod_4fe4s	CPLX0-7622	4fe4s()	M_protein_recon
LSERINEDEAM1-MONOMER_mod_4fe4s	LSERINEDEAM1-MONOMER	4fe4s()	M_protein_recon
LSERINEDEAM2-MONOMER_mod_4fe4s	LSERINEDEAM2-MONOMER	4fe4s()	M_protein_recon
G6886-MONOMER_mod_cu2	G6886-MONOMER	cu2()	M_protein_recon
METHYLENETHFREDUCT-CPLX_mod_fad	METHYLENETHFREDUCT-CPLX	fad()	M_protein_recon
UDHA-CPLX_mod_fad	UDHA-CPLX	fad()	M_protein_recon
ADHE-CPLX_mod_fe2	ADHE-CPLX	fe2()	M_protein_recon
AROF-CPLX_mod_2:fe2	AROF-CPLX	fe2(2)	M_protein_recon
AROG-CPLX_mod_fe2	AROG-CPLX	fe2()	M_protein_recon
GALACTARDEHYDRA-MONOMER_mod_fe2	GALACTARDEHYDRA-MONOMER	fe2()	M_protein_recon
GALACTURIDYLYLTRANS-CPLX_mod_fe2_mod_zn2	GALACTURIDYLYLTRANS-CPLX	fe2() AND zn2()	M_protein_recon
CPLX0-227_mod_fe2	CPLX0-227	fe2()	M_protein_recon
LACTALDREDUCT-CPLX_mod_fe2	LACTALDREDUCT-CPLX	fe2()	M_protein_recon
SUPEROX-DISMUTFE-CPLX_mod_fe3	SUPEROX-DISMUTFE-CPLX	fe3()	M_protein_recon
AROC-CPLX_mod_fmnh2	AROC-CPLX	fmnh2()	M_protein_recon
AROC-CPLX_mod_fadh2	AROC-CPLX	fadh2()	M_protein_recon
CFA-CPLX_mod_hco3	CFA-CPLX	hco3()	M_protein_recon
CPLX0-7882_mod_hco3	CPLX0-7882	hco3()	M_protein_recon
RHAMNULPALDOL-CPLX_mod_k_mod_zn2	RHAMNULPALDOL-CPLX	k() AND zn2()	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:k_mod_1:mg2	S-ADENMETSYN-CPLX	k(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:k_mod_1:mn2	S-ADENMETSYN-CPLX	k(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:k_mod_1:cobalt2	S-ADENMETSYN-CPLX	k(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:k_mod_1:zn2	S-ADENMETSYN-CPLX	k(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:k_mod_1:cd2	S-ADENMETSYN-CPLX	k(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:k_mod_1:ni2	S-ADENMETSYN-CPLX	k(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:k_mod_1:ca2	S-ADENMETSYN-CPLX	k(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:nh4_mod_1:mg2	S-ADENMETSYN-CPLX	nh4(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:nh4_mod_1:mn2	S-ADENMETSYN-CPLX	nh4(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:nh4_mod_1:cobalt2	S-ADENMETSYN-CPLX	nh4(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:nh4_mod_1:zn2	S-ADENMETSYN-CPLX	nh4(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:nh4_mod_1:cd2	S-ADENMETSYN-CPLX	nh4(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:nh4_mod_1:ni2	S-ADENMETSYN-CPLX	nh4(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:nh4_mod_1:ca2	S-ADENMETSYN-CPLX	nh4(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:tl_mod_1:mg2	S-ADENMETSYN-CPLX	tl(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:tl_mod_1:mn2	S-ADENMETSYN-CPLX	tl(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:tl_mod_1:cobalt2	S-ADENMETSYN-CPLX	tl(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:tl_mod_1:zn2	S-ADENMETSYN-CPLX	tl(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:tl_mod_1:cd2	S-ADENMETSYN-CPLX	tl(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:tl_mod_1:ni2	S-ADENMETSYN-CPLX	tl(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:tl_mod_1:ca2	S-ADENMETSYN-CPLX	tl(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:cs_mod_1:mg2	S-ADENMETSYN-CPLX	cs(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:cs_mod_1:mn2	S-ADENMETSYN-CPLX	cs(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:cs_mod_1:cobalt2	S-ADENMETSYN-CPLX	cs(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:cs_mod_1:zn2	S-ADENMETSYN-CPLX	cs(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:cs_mod_1:cd2	S-ADENMETSYN-CPLX	cs(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:cs_mod_1:ni2	S-ADENMETSYN-CPLX	cs(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:cs_mod_1:ca2	S-ADENMETSYN-CPLX	cs(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:LI_mod_1:mg2	S-ADENMETSYN-CPLX	LI(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:LI_mod_1:mn2	S-ADENMETSYN-CPLX	LI(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:LI_mod_1:cobalt2	S-ADENMETSYN-CPLX	LI(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:LI_mod_1:zn2	S-ADENMETSYN-CPLX	LI(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:LI_mod_1:cd2	S-ADENMETSYN-CPLX	LI(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:LI_mod_1:ni2	S-ADENMETSYN-CPLX	LI(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:LI_mod_1:ca2	S-ADENMETSYN-CPLX	LI(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:na1_mod_1:mg2	S-ADENMETSYN-CPLX	na1(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:na1_mod_1:mn2	S-ADENMETSYN-CPLX	na1(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:na1_mod_1:cobalt2	S-ADENMETSYN-CPLX	na1(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:na1_mod_1:zn2	S-ADENMETSYN-CPLX	na1(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:na1_mod_1:cd2	S-ADENMETSYN-CPLX	na1(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:na1_mod_1:ni2	S-ADENMETSYN-CPLX	na1(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_4:na1_mod_1:ca2	S-ADENMETSYN-CPLX	na1(4) AND ca2(1)	M_protein_recon
PKI-COMPLEX_mod_mg2_mod_k	PKI-COMPLEX	mg2() AND k()	M_protein_recon
PKI-COMPLEX_mod_mn2_mod_k	PKI-COMPLEX	mn2() AND k()	M_protein_recon
PKII-CPLX_mod_mg2_mod_k	PKII-CPLX	mg2() AND k()	M_protein_recon
PKII-CPLX_mod_mn2_mod_k	PKII-CPLX	mn2() AND k()	M_protein_recon
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mg2_mod_k	PANTOATE-BETA-ALANINE-LIG-CPLX	mg2() AND k()	M_protein_recon
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mg2_mod_nh4	PANTOATE-BETA-ALANINE-LIG-CPLX	mg2() AND nh4()	M_protein_recon
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mn2_mod_k	PANTOATE-BETA-ALANINE-LIG-CPLX	mn2() AND k()	M_protein_recon
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mn2_mod_nh4	PANTOATE-BETA-ALANINE-LIG-CPLX	mn2() AND nh4()	M_protein_recon
HOMOSERKIN-CPLX_mod_k_mod_mg2	HOMOSERKIN-CPLX	k() AND mg2()	M_protein_recon
AIRS-CPLX_mod_k_mod_mg2	AIRS-CPLX	k() AND mg2()	M_protein_recon
CPLX0-322_mod_k_mod_mg2	CPLX0-322	k() AND mg2()	M_protein_recon
CPLX0-7647_mod_k_mod_mg2	CPLX0-7647	k() AND mg2()	M_protein_recon
UDP-NACMURALA-GLU-LIG-MONOMER_mod_k_mod_mg2	UDP-NACMURALA-GLU-LIG-MONOMER	k() AND mg2()	M_protein_recon
G6986-MONOMER_mod_k_mod_mg2	G6986-MONOMER	k() AND mg2()	M_protein_recon
NADH-DHII-MONOMER_mod_mg2_mod_cu_mod_fad	NADH-DHII-MONOMER	mg2() AND cu() AND fad()	M_protein_recon
ARGDECARBOXBIO-CPLX_mod_mg2_mod_4:pydx5p	ARGDECARBOXBIO-CPLX	mg2() AND pydx5p(4)	M_protein_recon
PYRUVOXID-CPLX_mod_mg2_mod_thmpp_mod_fad	PYRUVOXID-CPLX	mg2() AND thmpp() AND fad()	M_protein_recon
PEPCARBOXYKIN-MONOMER_mod_mg2	PEPCARBOXYKIN-MONOMER	mg2()	M_protein_recon
PEPCARBOXYKIN-MONOMER_mod_ca2	PEPCARBOXYKIN-MONOMER	ca2()	M_protein_recon
PEPCARBOXYKIN-MONOMER_mod_mn2	PEPCARBOXYKIN-MONOMER	mn2()	M_protein_recon
HEMEOSYN-MONOMER_mod_mg2	HEMEOSYN-MONOMER	mg2()	M_protein_recon
HEMEOSYN-MONOMER_mod_ca2	HEMEOSYN-MONOMER	ca2()	M_protein_recon
GLY3KIN-MONOMER_mod_mg2	GLY3KIN-MONOMER	mg2()	M_protein_recon
GLY3KIN-MONOMER_mod_cobalt2	GLY3KIN-MONOMER	cobalt2()	M_protein_recon
GLY3KIN-MONOMER_mod_mn2	GLY3KIN-MONOMER	mn2()	M_protein_recon
GLY3KIN-MONOMER_mod_fe2	GLY3KIN-MONOMER	fe2()	M_protein_recon
GLY3KIN-MONOMER_mod_ca2	GLY3KIN-MONOMER	ca2()	M_protein_recon
PD04413_mod_mg2	PD04413	mg2()	M_protein_recon
PD04413_mod_mn2	PD04413	mn2()	M_protein_recon
PD04413_mod_ca2	PD04413	ca2()	M_protein_recon
PD04413_mod_zn2	PD04413	zn2()	M_protein_recon
PD04413_mod_cu2	PD04413	cu2()	M_protein_recon
PD04413_mod_cd2	PD04413	cd2()	M_protein_recon
PD04413_mod_cobalt2	PD04413	cobalt2()	M_protein_recon
PD04413_mod_ni2	PD04413	ni2()	M_protein_recon
NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2	NUCLEOSIDE-DIP-KIN-CPLX	mg2()	M_protein_recon
NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2	NUCLEOSIDE-DIP-KIN-CPLX	mn2()	M_protein_recon
NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2	NUCLEOSIDE-DIP-KIN-CPLX	ca2()	M_protein_recon
FOLXTET-CPLX_mod_mg2	FOLXTET-CPLX	mg2()	M_protein_recon
FOLXTET-CPLX_mod_mn2	FOLXTET-CPLX	mn2()	M_protein_recon
FOLXTET-CPLX_mod_ca2	FOLXTET-CPLX	ca2()	M_protein_recon
ADENYLYLSULFKIN-CPLX_mod_mg2	ADENYLYLSULFKIN-CPLX	mg2()	M_protein_recon
ADENYLYLSULFKIN-CPLX_mod_mn2	ADENYLYLSULFKIN-CPLX	mn2()	M_protein_recon
ADENYLYLSULFKIN-CPLX_mod_cobalt2	ADENYLYLSULFKIN-CPLX	cobalt2()	M_protein_recon
ADENYLYLSULFKIN-CPLX_mod_cd2	ADENYLYLSULFKIN-CPLX	cd2()	M_protein_recon
ASPARTASE-CPLX_mod_mg2	ASPARTASE-CPLX	mg2()	M_protein_recon
ASPARTASE-CPLX_mod_mn2	ASPARTASE-CPLX	mn2()	M_protein_recon
ASPARTASE-CPLX_mod_cobalt2	ASPARTASE-CPLX	cobalt2()	M_protein_recon
CPLX0-7712_mod_mg2	CPLX0-7712	mg2()	M_protein_recon
CPLX0-7712_mod_mn2	CPLX0-7712	mn2()	M_protein_recon
NAD-SYNTH-CPLX_mod_mg2	NAD-SYNTH-CPLX	mg2()	M_protein_recon
NAD-SYNTH-CPLX_mod_mn2	NAD-SYNTH-CPLX	mn2()	M_protein_recon
ADENPRIBOSYLTRAN-CPLX_mod_mg2	ADENPRIBOSYLTRAN-CPLX	mg2()	M_protein_recon
ADENPRIBOSYLTRAN-CPLX_mod_mn2	ADENPRIBOSYLTRAN-CPLX	mn2()	M_protein_recon
GLYCEROL-KIN-CPLX_mod_mg2	GLYCEROL-KIN-CPLX	mg2()	M_protein_recon
GLYCEROL-KIN-CPLX_mod_mn2	GLYCEROL-KIN-CPLX	mn2()	M_protein_recon
HOLO-ACP-SYNTH-CPLX_mod_mg2	HOLO-ACP-SYNTH-CPLX	mg2()	M_protein_recon
HOLO-ACP-SYNTH-CPLX_mod_mn2	HOLO-ACP-SYNTH-CPLX	mn2()	M_protein_recon
ISOCIT-LYASE_mod_mg2	ISOCIT-LYASE	mg2()	M_protein_recon
ISOCIT-LYASE_mod_mn2	ISOCIT-LYASE	mn2()	M_protein_recon
FPPSYN-MONOMER_mod_mg2	FPPSYN-MONOMER	mg2()	M_protein_recon
FPPSYN-MONOMER_mod_mn2	FPPSYN-MONOMER	mn2()	M_protein_recon
G6954-MONOMER_mod_mg2	G6954-MONOMER	mg2()	M_protein_recon
G6954-MONOMER_mod_mn2	G6954-MONOMER	mn2()	M_protein_recon
EG11829-MONOMER_mod_mg2	EG11829-MONOMER	mg2()	M_protein_recon
EG11829-MONOMER_mod_mn2	EG11829-MONOMER	mn2()	M_protein_recon
IMIDHISTID-CPLX_mod_mg2	IMIDHISTID-CPLX	mg2()	M_protein_recon
AROK-MONOMER_mod_mg2	AROK-MONOMER	mg2()	M_protein_recon
AROK-MONOMER_mod_mn2	AROK-MONOMER	mn2()	M_protein_recon
AROK-MONOMER_mod_cobalt2	AROK-MONOMER	cobalt2()	M_protein_recon
AROK-MONOMER_mod_fe2	AROK-MONOMER	fe2()	M_protein_recon
AROK-MONOMER_mod_ca2	AROK-MONOMER	ca2()	M_protein_recon
AROK-MONOMER_mod_k	AROK-MONOMER	k()	M_protein_recon
AROL-MONOMER_mod_mg2	AROL-MONOMER	mg2()	M_protein_recon
AROL-MONOMER_mod_mn2	AROL-MONOMER	mn2()	M_protein_recon
AROL-MONOMER_mod_cobalt2	AROL-MONOMER	cobalt2()	M_protein_recon
AROL-MONOMER_mod_fe2	AROL-MONOMER	fe2()	M_protein_recon
AROL-MONOMER_mod_ca2	AROL-MONOMER	ca2()	M_protein_recon
AROL-MONOMER_mod_k	AROL-MONOMER	k()	M_protein_recon
6PFK-2-CPX_mod_mg2	6PFK-2-CPX	mg2()	M_protein_recon
CPLX0-1622_mod_mg2	CPLX0-1622	mg2()	M_protein_recon
ACETATEKINA-MONOMER_mod_mg2	ACETATEKINA-MONOMER	mg2()	M_protein_recon
GLUCARDEHYDRA-MONOMER_mod_mg2	GLUCARDEHYDRA-MONOMER	mg2()	M_protein_recon
GMP-SYN-CPLX_mod_mg2	GMP-SYN-CPLX	mg2()	M_protein_recon
1-PFK_mod_mg2	1-PFK	mg2()	M_protein_recon
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX_mod_mg2	3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	mg2()	M_protein_recon
ACETYLGLUTKIN-CPLX_mod_mg2	ACETYLGLUTKIN-CPLX	mg2()	M_protein_recon
ACYLCOASYN-CPLX_mod_mg2	ACYLCOASYN-CPLX	mg2()	M_protein_recon
ADENYLOSUCCINATE-SYN-DIMER_mod_mg2	ADENYLOSUCCINATE-SYN-DIMER	mg2()	M_protein_recon
APHA-CPLX_mod_mg2	APHA-CPLX	mg2()	M_protein_recon
ASNSYNA-CPLX_mod_mg2	ASNSYNA-CPLX	mg2()	M_protein_recon
ASNSYNB-CPLX_mod_mg2	ASNSYNB-CPLX	mg2()	M_protein_recon
COADTRI-CPLX_mod_mg2	COADTRI-CPLX	mg2()	M_protein_recon
CPLX0-1021_mod_mg2	CPLX0-1021	mg2()	M_protein_recon
CPLX0-1221_mod_mg2	CPLX0-1221	mg2()	M_protein_recon
GTP-CYCLOHYDRO-II-CPLX_mod_mg2	GTP-CYCLOHYDRO-II-CPLX	mg2()	M_protein_recon
Trp_RS_dim_mod_mg2	Trp_RS_dim	mg2()	M_protein_recon
UDP-NACMUR-ALA-LIG-MONOMER_mod_mg2	UDP-NACMUR-ALA-LIG-MONOMER	mg2()	M_protein_recon
EG11736-MONOMER_mod_mg2	EG11736-MONOMER	mg2()	M_protein_recon
THI-P-KIN-MONOMER_mod_mg2	THI-P-KIN-MONOMER	mg2()	M_protein_recon
PGPPHOSPHAA-MONOMER_mod_mg2	PGPPHOSPHAA-MONOMER	mg2()	M_protein_recon
ADENYL-KIN-MONOMER_mod_mg2	ADENYL-KIN-MONOMER	mg2()	M_protein_recon
ENTC-MONOMER_mod_mg2	ENTC-MONOMER	mg2()	M_protein_recon
NICONUCADENYLYLTRAN-MONOMER_mod_mg2	NICONUCADENYLYLTRAN-MONOMER	mg2()	M_protein_recon
PHOSPHOGLUCMUT-MONOMER_mod_mg2	PHOSPHOGLUCMUT-MONOMER	mg2()	M_protein_recon
GALACTOKIN-MONOMER_mod_mg2	GALACTOKIN-MONOMER	mg2()	M_protein_recon
EG11239-MONOMER_mod_mg2	EG11239-MONOMER	mg2()	M_protein_recon
G6425-MONOMER_mod_mg2	G6425-MONOMER	mg2()	M_protein_recon
TETRAACYLDISACC4KIN-MONOMER_mod_mg2	TETRAACYLDISACC4KIN-MONOMER	mg2()	M_protein_recon
CPM-KDOSYNTH-MONOMER_mod_mg2	CPM-KDOSYNTH-MONOMER	mg2()	M_protein_recon
DTMPKI-MONOMER_mod_mg2	DTMPKI-MONOMER	mg2()	M_protein_recon
THIKIN-MONOMER_mod_mg2	THIKIN-MONOMER	mg2()	M_protein_recon
G6880-MONOMER_mod_mg2	G6880-MONOMER	mg2()	M_protein_recon
EG10943-MONOMER_mod_mg2	EG10943-MONOMER	mg2()	M_protein_recon
H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER_mod_mg2	H2NEOPTERINP3PYROPHOSPHOHYDRO-MONOMER	mg2()	M_protein_recon
ArgS_mono_mod_mg2	ArgS_mono	mg2()	M_protein_recon
TREHALOSEPHOSPHASYN-MONOMER_mod_mg2	TREHALOSEPHOSPHASYN-MONOMER	mg2()	M_protein_recon
PHOSPHAGLYPSYN-MONOMER_mod_mg2	PHOSPHAGLYPSYN-MONOMER	mg2()	M_protein_recon
DTDPGLUCOSEPP-MONOMER_mod_mg2	DTDPGLUCOSEPP-MONOMER	mg2()	M_protein_recon
UDK-MONOMER_mod_mg2	UDK-MONOMER	mg2()	M_protein_recon
O-SUCCINYLBENZOATE-COA-SYN-MONOMER_mod_mg2	O-SUCCINYLBENZOATE-COA-SYN-MONOMER	mg2()	M_protein_recon
EG10534-MONOMER_mod_mg2	EG10534-MONOMER	mg2()	M_protein_recon
EG10983-MONOMER_mod_mg2	EG10983-MONOMER	mg2()	M_protein_recon
FGAMSYN-MONOMER_mod_mg2	FGAMSYN-MONOMER	mg2()	M_protein_recon
GLUTCYSLIG-MONOMER_mod_mg2	GLUTCYSLIG-MONOMER	mg2()	M_protein_recon
G7408-MONOMER_mod_mg2	G7408-MONOMER	mg2()	M_protein_recon
FUCULOKIN-MONOMER_mod_mg2	FUCULOKIN-MONOMER	mg2()	M_protein_recon
G7496-MONOMER_mod_mg2	G7496-MONOMER	mg2()	M_protein_recon
MALSYNG-MONOMER_mod_mg2	MALSYNG-MONOMER	mg2()	M_protein_recon
GLYCPDIESTER-CYTO-MONOMER_mod_mg2	GLYCPDIESTER-CYTO-MONOMER	mg2()	M_protein_recon
DEOXYGLUCONOKIN-MONOMER_mod_mg2	DEOXYGLUCONOKIN-MONOMER	mg2()	M_protein_recon
GLCNACPTRANS-MONOMER_mod_mg2	GLCNACPTRANS-MONOMER	mg2()	M_protein_recon
ADENYLATECYC-MONOMER_mod_mg2	ADENYLATECYC-MONOMER	mg2()	M_protein_recon
EG11470-MONOMER_mod_mg2	EG11470-MONOMER	mg2()	M_protein_recon
RHAMNULOKIN-MONOMER_mod_mg2	RHAMNULOKIN-MONOMER	mg2()	M_protein_recon
DMK-MONOMER_mod_mg2	DMK-MONOMER	mg2()	M_protein_recon
THIE-MONOMER_mod_mg2	THIE-MONOMER	mg2()	M_protein_recon
